AC,ID,DE,TP
PF18321.4,3HCDH_RFF,3-hydroxybutyryl-CoA dehydrogenase reduced Rossmann-fold domain,Domain
PF06439.14,3keto-disac_hyd,3-keto-disaccharide hydrolase,Domain
PF16121.8,40S_S4_C,40S ribosomal protein S4 C-terminus,Family
PF16122.8,40S_SA_C,40S ribosomal protein SA C-terminus,Family
PF04419.17,4F5,4F5 protein related disordered region,Disordered
PF17947.4,4HB,Four helical bundle domain,Domain
PF03061.25,4HBT,Thioesterase superfamily,Domain
PF13279.9,4HBT_2,Thioesterase-like superfamily,Domain
PF13622.9,4HBT_3,Thioesterase-like superfamily,Domain
PF12729.10,4HB_MCP_1,Four helix bundle sensory module for signal transduction,Family
PF04476.16,4HFCP_synth,4-HFC-P synthase,Family
PF18671.4,4HPAD_g_N,4-Hydroxyphenylacetate decarboxylase subunit gamma N-terminal,Domain
PF17837.4,4PPT_N,4'-phosphopantetheinyl transferase N-terminal domain,Domain
PF05902.16,4_1_CTD,4.1 protein C-terminal domain (CTD),Domain
PF01812.23,5-FTHF_cyc-lig,5-formyltetrahydrofolate cyclo-ligase family,Family
PF06189.15,5-nucleotidase,5'-nucleotidase,Family
PF09038.13,53-BP1_Tudor,Tumour suppressor p53-binding protein-1 Tudor,Domain
PF03491.16,5HT_transport_N,"Serotonin (5-HT) neurotransmitter transporter, N-terminus",Family
PF07694.15,5TM-5TMR_LYT,5TMR of 5TMR-LYT,Domain
PF01367.23,5_3_exonuc,"5'-3' exonuclease, C-terminal SAM fold",Domain
PF02739.19,5_3_exonuc_N,"5'-3' exonuclease, N-terminal resolvase-like domain",Domain
PF05761.17,5_nucleotid,5' nucleotidase family,Family
PF02872.21,5_nucleotid_C,"5'-nucleotidase, C-terminal domain",Domain
PF02096.23,60KD_IMP,60Kd inner membrane protein,Family
PF01591.21,6PF2K,6-phosphofructo-2-kinase,Domain
PF00393.22,6PGD,"6-phosphogluconate dehydrogenase, C-terminal domain",Domain
PF02294.21,7kD_DNA_binding,7kD DNA-binding domain,Domain
PF07698.14,7TM-7TMR_HD,7TM receptor with intracellular HD hydrolase,Domain
PF07696.14,7TMR-DISMED2,7TMR-DISM extracellular 2,Domain
PF07695.14,7TMR-DISM_7TM,7TM diverse intracellular signalling,Domain
PF07697.14,7TMR-HDED,7TM-HD extracellular,Domain
PF00001.24,7tm_1,7 transmembrane receptor (rhodopsin family),Family
PF00002.27,7tm_2,7 transmembrane receptor (Secretin family),Family
PF00003.25,7tm_3,7 transmembrane sweet-taste receptor of 3 GCPR,Domain
PF13853.9,7tm_4,Olfactory receptor,Family
PF02949.23,7tm_6,7tm Odorant receptor,Family
PF08395.15,7tm_7,7tm Chemosensory receptor,Family
PF02117.19,7TM_GPCR_Sra,Serpentine type 7TM GPCR chemoreceptor Sra,Family
PF10292.12,7TM_GPCR_Srab,Serpentine type 7TM GPCR receptor class ab chemoreceptor,Family
PF02175.19,7TM_GPCR_Srb,Serpentine type 7TM GPCR chemoreceptor Srb,Family
PF10316.12,7TM_GPCR_Srbc,Serpentine type 7TM GPCR chemoreceptor Srbc,Family
PF10317.12,7TM_GPCR_Srd,Serpentine type 7TM GPCR chemoreceptor Srd,Family
PF10318.12,7TM_GPCR_Srh,Serpentine type 7TM GPCR chemoreceptor Srh,Family
PF10327.12,7TM_GPCR_Sri,Serpentine type 7TM GPCR chemoreceptor Sri,Family
PF10319.12,7TM_GPCR_Srj,Serpentine type 7TM GPCR chemoreceptor Srj,Family
PF10320.12,7TM_GPCR_Srsx,Serpentine type 7TM GPCR chemoreceptor Srsx,Family
PF10321.12,7TM_GPCR_Srt,Serpentine type 7TM GPCR chemoreceptor Srt,Family
PF10322.12,7TM_GPCR_Sru,Serpentine type 7TM GPCR chemoreceptor Sru,Family
PF10323.12,7TM_GPCR_Srv,Serpentine type 7TM GPCR chemoreceptor Srv,Family
PF10324.12,7TM_GPCR_Srw,Serpentine type 7TM GPCR chemoreceptor Srw,Family
PF10328.12,7TM_GPCR_Srx,Serpentine type 7TM GPCR chemoreceptor Srx,Family
PF10325.12,7TM_GPCR_Srz,Serpentine type 7TM GPCR chemoreceptor Srz,Family
PF10326.12,7TM_GPCR_Str,Serpentine type 7TM GPCR chemoreceptor Str,Family
PF14402.9,7TM_transglut,7 transmembrane helices usually fused to an inactive transglutaminase,Family
PF17028.8,8TM_micro,8TM Microsporidial transmembrane domain,Family
PF07388.14,A-2_8-polyST,"Alpha-2,8-polysialyltransferase (POLYST)",Family
PF07966.15,A1_Propeptide,A1 Propeptide,Motif
PF08792.13,A2L_zn_ribbon,A2L zinc ribbon domain,Domain
PF00207.25,A2M,Alpha-2-macroglobulin family,Family
PF07703.17,A2M_BRD,Alpha-2-macroglobulin bait region domain,Domain
PF07677.17,A2M_recep,A-macroglobulin receptor binding domain,Domain
PF03443.17,AA9,Auxiliary Activity family 9 (formerly GH61),Family
PF00004.32,AAA,ATPase family associated with various cellular activities (AAA),Domain
PF09820.12,AAA-ATPase_like,Predicted AAA-ATPase,Family
PF12846.10,AAA_10,AAA-like domain,Domain
PF13086.9,AAA_11,AAA domain,Domain
PF13087.9,AAA_12,AAA domain,Domain
PF13166.9,AAA_13,AAA domain,Domain
PF13173.9,AAA_14,AAA domain,Family
PF13175.9,AAA_15,AAA ATPase domain,Domain
PF13191.9,AAA_16,AAA ATPase domain,Domain
PF13207.9,AAA_17,AAA domain,Domain
PF13238.9,AAA_18,AAA domain,Domain
PF13245.9,AAA_19,AAA domain,Domain
PF07724.17,AAA_2,AAA domain (Cdc48 subfamily),Domain
PF13304.9,AAA_21,"AAA domain, putative AbiEii toxin, Type IV TA system",Domain
PF13401.9,AAA_22,AAA domain,Domain
PF13476.9,AAA_23,AAA domain,Domain
PF13479.9,AAA_24,AAA domain,Domain
PF13481.9,AAA_25,AAA domain,Domain
PF13500.9,AAA_26,AAA domain,Domain
PF13514.9,AAA_27,AAA domain,Domain
PF13521.9,AAA_28,AAA domain,Domain
PF13555.9,AAA_29,P-loop containing region of AAA domain,Domain
PF07726.14,AAA_3,ATPase family associated with various cellular activities (AAA),Domain
PF13604.9,AAA_30,AAA domain,Domain
PF13614.9,AAA_31,AAA domain,Domain
PF13654.9,AAA_32,"LonB-like, AAA domain",Domain
PF13671.9,AAA_33,AAA domain,Domain
PF13872.9,AAA_34,P-loop containing NTP hydrolase pore-1,Domain
PF14516.9,AAA_35,AAA-like domain,Family
PF07728.17,AAA_5,AAA domain (dynein-related subfamily),Domain
PF12774.10,AAA_6,Hydrolytic ATP binding site of dynein motor region,Domain
PF12775.10,AAA_7,P-loop containing dynein motor region,Domain
PF12780.10,AAA_8,P-loop containing dynein motor region D4,Domain
PF12781.10,AAA_9,ATP-binding dynein motor region,Domain
PF14363.9,AAA_assoc,Domain associated at C-terminal with AAA,Family
PF16193.8,AAA_assoc_2,AAA C-terminal domain,Family
PF09821.12,AAA_assoc_C,C-terminal AAA-associated domain,Domain
PF17857.4,AAA_lid_1,AAA+ lid domain,Domain
PF17872.4,AAA_lid_10,AAA lid domain,Domain
PF18198.4,AAA_lid_11,Dynein heavy chain AAA lid domain,Domain
PF17863.4,AAA_lid_2,AAA lid domain,Domain
PF17862.4,AAA_lid_3,AAA+ lid domain,Domain
PF17864.4,AAA_lid_4,RuvB AAA lid domain,Domain
PF17865.4,AAA_lid_5,Midasin AAA lid domain,Domain
PF17866.4,AAA_lid_6,AAA lid domain,Domain
PF17867.4,AAA_lid_7,Midasin AAA lid domain,Domain
PF17868.4,AAA_lid_8,AAA lid domain,Domain
PF17871.4,AAA_lid_9,AAA lid domain,Domain
PF08298.14,AAA_PrkA,PrkA AAA domain,Domain
PF18280.4,AadA_C,Aminoglycoside adenyltransferase C-terminal domain,Domain
PF04611.15,AalphaY_MDB,Mating type protein A alpha Y mating type dependent binding region,Family
PF03306.16,AAL_decarboxy,Alpha-acetolactate decarboxylase,Domain
PF05282.14,AAR2,AAR2 protein,Repeat
PF08142.15,AARP2CN,AARP2CN (NUC121) domain,Domain
PF03417.19,AAT,Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase,Domain
PF07247.15,AATase,Alcohol acetyltransferase,Family
PF13339.9,AATF-Che1,Apoptosis antagonizing transcription factor,Family
PF00696.31,AA_kinase,Amino acid kinase family,Family
PF00324.24,AA_permease,Amino acid permease,Domain
PF13520.9,AA_permease_2,Amino acid permease,Family
PF13906.9,AA_permease_C,C-terminus of AA_permease,Domain
PF08403.13,AA_permease_N,Amino acid permease N-terminal,Family
PF06684.14,AA_synth,Amino acid synthesis,Family
PF01490.21,Aa_trans,Transmembrane amino acid transporter protein,Family
PF14108.9,ABA4-like,ABA DEFICIENT 4-like,Family
PF07336.14,ABATE,Putative stress-induced transcription regulator,Family
PF12430.11,ABA_GPCR,Abscisic acid G-protein coupled receptor,Family
PF02496.19,ABA_WDS,ABA/WDS induced protein,Family
PF14156.9,AbbA_antirepres,Antirepressor AbbA,Family
PF00950.20,ABC-3,ABC 3 transport family,Family
PF03109.19,ABC1,ABC1 atypical kinase-like domain,Domain
PF01061.27,ABC2_membrane,ABC-2 type transporter,Family
PF12679.10,ABC2_membrane_2,ABC-2 family transporter protein,Domain
PF12698.10,ABC2_membrane_3,ABC-2 family transporter protein,Family
PF12730.10,ABC2_membrane_4,ABC-2 family transporter protein,Family
PF13346.9,ABC2_membrane_5,ABC-2 family transporter protein,Family
PF06182.14,ABC2_membrane_6,ABC-2 family transporter protein,Family
PF19055.3,ABC2_membrane_7,ABC-2 type transporter,Family
PF09818.12,ABC_ATPase,ATPase of the ABC class,Domain
PF09819.12,ABC_cobalt,"ABC-type cobalt transport system, permease component",Family
PF16962.8,ABC_export,Putative ABC exporter,Family
PF00664.26,ABC_membrane,ABC transporter transmembrane region,Family
PF06472.18,ABC_membrane_2,ABC transporter transmembrane region 2,Family
PF13748.9,ABC_membrane_3,ABC transporter transmembrane region,Family
PF20446.1,ABC_N,ATPase of the ABC class N-terminal,Domain
PF04392.15,ABC_sub_bind,ABC transporter substrate binding protein,Family
PF20220.1,ABC_toxin_N,ABC toxin N-terminal region,Family
PF00005.30,ABC_tran,ABC transporter,Domain
PF09822.12,ABC_transp_aux,ABC-type uncharacterized transport system,Family
PF03886.16,ABC_trans_aux,ABC-type transport auxiliary lipoprotein component,Family
PF06541.14,ABC_trans_CmpB,Putative ABC-transporter type IV,Family
PF14510.9,ABC_trans_N,ABC-transporter N-terminal,Domain
PF16949.8,ABC_tran_2,Putative ATP-binding cassette,Family
PF16326.8,ABC_tran_CTD,ABC transporter C-terminal domain,Coiled-coil
PF12848.10,ABC_tran_Xtn,ABC transporter,Domain
PF12407.11,Abdominal-A,Homeobox protein,Disordered
PF05270.16,AbfB,Alpha-L-arabinofuranosidase B (ABFB) domain,Domain
PF18225.4,AbfS_sensor,Sensor histidine kinase (AbfS) sensor domain,Domain
PF03806.16,ABG_transport,AbgT putative transporter family,Family
PF09752.12,ABHD18,Alpha/beta hydrolase domain containing 18,Family
PF00561.23,Abhydrolase_1,alpha/beta hydrolase fold,Domain
PF20091.2,Abhydrolase_10,Alpha/beta hydrolase domain,Domain
PF20408.1,Abhydrolase_11,Alpha/beta hydrolase domain,Domain
PF02230.19,Abhydrolase_2,Phospholipase/Carboxylesterase,Domain
PF07859.16,Abhydrolase_3,alpha/beta hydrolase fold,Domain
PF08386.13,Abhydrolase_4,TAP-like protein,Family
PF12695.10,Abhydrolase_5,Alpha/beta hydrolase family,Domain
PF12697.10,Abhydrolase_6,Alpha/beta hydrolase family,Domain
PF12715.10,Abhydrolase_7,Abhydrolase family,Domain
PF06259.15,Abhydrolase_8,Alpha/beta hydrolase,Family
PF10081.12,Abhydrolase_9,Alpha/beta-hydrolase family,Family
PF15420.9,Abhydrolase_9_N,Alpha/beta-hydrolase family N-terminus,Family
PF04083.19,Abhydro_lipase,Partial alpha/beta-hydrolase lipase region,Family
PF08843.14,AbiEii,"Nucleotidyl transferase AbiEii toxin, Type IV TA system",Domain
PF09407.13,AbiEi_1,AbiEi antitoxin C-terminal domain,Domain
PF09952.12,AbiEi_2,"Transcriptional regulator, AbiEi antitoxin, Type IV TA system",Family
PF11459.11,AbiEi_3,"Transcriptional regulator, AbiEi antitoxin, Type IV TA system",Family
PF17194.7,AbiEi_3_N,"Transcriptional regulator, AbiEi antitoxin N-terminal domain",Domain
PF13338.9,AbiEi_4,"Transcriptional regulator, AbiEi antitoxin",Domain
PF10899.11,AbiGi,"Putative abortive phage resistance protein AbiGi, antitoxin",Family
PF16873.8,AbiGii_2,Putative abortive phage resistance protein AbiGii toxin,Domain
PF20578.1,aBig_2,Atrophied bacterial Ig domain,Domain
PF14253.9,AbiH,Bacteriophage abortive infection AbiH,Family
PF18860.4,AbiJ_NTD3,AbiJ N-terminal domain 3,Domain
PF18863.4,AbiJ_NTD4,AbiJ N-terminal domain 4,Domain
PF18865.4,AbiJ_NTD5,AbiJ N-terminal domain 5,Domain
PF18864.4,AbiTii,AbiTii,Domain
PF07751.14,Abi_2,Abi-like protein,Family
PF14337.9,Abi_alpha,Abortive infection alpha,Family
PF14355.9,Abi_C,Abortive infection C-terminus,Family
PF07815.17,Abi_HHR,Abl-interactor HHR,Family
PF16182.8,AbLIM_anchor,Putative adherens-junction anchoring region of AbLIM,Family
PF03992.19,ABM,Antibiotic biosynthesis monooxygenase,Domain
PF09441.13,Abp2,ARS binding protein 2,Family
PF05145.15,AbrB,Transition state regulatory protein AbrB,Family
PF14250.9,AbrB-like,AbrB-like transcriptional regulator,Family
PF18277.4,AbrB_C,AbrB C-terminal domain,Domain
PF07280.14,Ac110_PIF,Per os infectivity factor AC110,Family
PF20520.1,Ac45-VOA1_TM,V0 complex accessory subunit Ac45/VOA1 transmembrane domain,Domain
PF05814.14,Ac76,Orf76 (Ac76),Family
PF05820.14,Ac81,Baculoviridae AC81,Family
PF08900.14,AcaB,Transcriptional regulator AcaB,Family
PF16177.8,ACAS_N,Acetyl-coenzyme A synthetase N-terminus,Family
PF13000.10,Acatn,Acetyl-coenzyme A transporter 1,Family
PF00887.22,ACBP,Acyl CoA binding protein,Domain
PF05528.14,Acc5b_avian_CoV,"Accessory protein 5b, avian coronavirus",Family
PF03255.17,ACCA,Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit,Family
PF08326.15,ACC_central,"Acetyl-CoA carboxylase, central region",Family
PF13822.9,ACC_epsilon,Acyl-CoA carboxylase epsilon subunit,Family
PF16671.8,ACD,Actin cross-linking domain,Domain
PF14733.9,ACDC,AP2-coincident C-terminal,Family
PF09317.14,ACDH_C,"Acyl-CoA dehydrogenase, C-terminal, bacterial type",Domain
PF06315.14,AceK_kinase,Isocitrate dehydrogenase kinase/phosphatase (AceK) kinase domain,Domain
PF20423.1,AceK_regulatory,"Isocitrate dehydrogenase kinase/phosphatase (AceK), regulatory domain",Domain
PF00871.20,Acetate_kinase,Acetokinase family,Family
PF09290.14,AcetDehyd-dimer,"Prokaryotic acetaldehyde dehydrogenase, dimerisation",Domain
PF08882.14,Acetone_carb_G,Acetone carboxylase gamma subunit,Domain
PF02550.18,AcetylCoA_hydro,Acetyl-CoA hydrolase/transferase N-terminal domain,Domain
PF13336.9,AcetylCoA_hyd_C,Acetyl-CoA hydrolase/transferase C-terminal domain,Domain
PF00583.28,Acetyltransf_1,Acetyltransferase (GNAT) family,Family
PF13673.10,Acetyltransf_10,Acetyltransferase (GNAT) domain,Domain
PF13720.9,Acetyltransf_11,Udp N-acetylglucosamine O-acyltransferase; Domain 2,Domain
PF13880.9,Acetyltransf_13,ESCO1/2 acetyl-transferase,Domain
PF03421.19,Acetyltransf_14,YopJ Serine/Threonine acetyltransferase,Family
PF17013.8,Acetyltransf_15,Putative acetyl-transferase,Family
PF05301.14,Acetyltransf_16,"GNAT acetyltransferase, Mec-17",Family
PF17668.4,Acetyltransf_17,Acetyltransferase (GNAT) domain,Domain
PF18014.4,Acetyltransf_18,Acetyltransferase (GNAT) domain,Domain
PF18015.4,Acetyltransf_19,Acetyltransferase (GNAT) domain,Domain
PF00797.20,Acetyltransf_2,N-acetyltransferase,Family
PF13302.10,Acetyltransf_3,Acetyltransferase (GNAT) domain,Domain
PF13420.10,Acetyltransf_4,Acetyltransferase (GNAT) domain,Domain
PF13444.9,Acetyltransf_5,Acetyltransferase (GNAT) domain,Domain
PF13480.10,Acetyltransf_6,Acetyltransferase (GNAT) domain,Domain
PF13508.10,Acetyltransf_7,Acetyltransferase (GNAT) domain,Domain
PF13523.9,Acetyltransf_8,Acetyltransferase (GNAT) domain,Domain
PF13527.10,Acetyltransf_9,Acetyltransferase (GNAT) domain,Domain
PF14542.9,Acetyltransf_CG,GCN5-related N-acetyl-transferase,Domain
PF08674.13,AChE_tetra,Acetylcholinesterase tetramerisation domain,Domain
PF15270.9,ACI44,Metallo-carboxypeptidase inhibitor,Family
PF03767.17,Acid_phosphat_B,"HAD superfamily, subfamily IIIB (Acid phosphatase)",Family
PF12689.10,Acid_PPase,Acid Phosphatase,Family
PF05054.15,AcMNPV_Ac109,Autographa californica nuclear polyhedrosis virus (AcMNPV) protein,Family
PF07138.14,AcMNPV_AC11,Baculovirus protein AC11,Family
PF06648.14,AcMNPV_Ac75,"Autographa californica nuclear polyhedrosis virus (AcMNPV), Ac75",Family
PF05815.14,AcMNPV_Orf101,"Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf101",Family
PF06856.14,AcMNPV_Orf17,"Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf17",Family
PF07134.14,AcMNPV_Orf18,"Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf18",Family
PF05081.15,AcMNPV_P18,"Autographa californica nuclear polyhedrosis virus (AcMNPV), P18",Family
PF04412.16,AcnX,Aconitase X,Family
PF01989.19,AcnX_swivel_put,Aconitase X swivel domain,Domain
PF00330.23,Aconitase,Aconitase family (aconitate hydratase),Family
PF06434.16,Aconitase_2_N,Aconitate hydratase 2 N-terminus,Family
PF11791.11,Aconitase_B_N,Aconitate B N-terminal domain,Repeat
PF00694.22,Aconitase_C,Aconitase C-terminal domain,Domain
PF01756.22,ACOX,Acyl-CoA oxidase,Family
PF06857.14,ACP,Malonate decarboxylase delta subunit (MdcD),Family
PF05777.15,Acp26Ab,Drosophila accessory gland-specific peptide 26Ab (Acp26Ab),Family
PF06313.14,ACP53EA,Drosophila ACP53EA protein,Family
PF01648.23,ACPS,4'-phosphopantetheinyl transferase superfamily,Domain
PF04336.15,ACP_PD,Acyl carrier protein phosphodiesterase,Family
PF08545.13,ACP_syn_III,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,Domain
PF08541.13,ACP_syn_III_C,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,Domain
PF10766.12,AcrZ,Multidrug efflux pump-associated protein AcrZ,Family
PF00873.22,ACR_tran,AcrB/AcrD/AcrF family,Family
PF19436.2,ACS_CODH_B_C,ACS/CODH beta subunit C-terminal,Domain
PF01842.28,ACT,ACT domain,Domain
PF09192.13,Act-Frag_cataly,"Actin-fragmin kinase, catalytic",Domain
PF05058.15,ActA,ActA Protein,Family
PF11821.11,ActD,"Alternative complex III, ActD subunit",Family
PF16102.8,ACTH_assoc,ACTH-associated domain,Family
PF00976.21,ACTH_domain,Corticotropin ACTH domain,Family
PF00022.22,Actin,Actin,Family
PF14408.9,Actino_peptide,Ribosomally synthesised peptide in actinomycetes,Family
PF17003.8,Actin_micro,Putative actin-like family,Family
PF11657.11,Activator-TraM,Transcriptional activator TraM,Family
PF11498.11,Activator_LAG-3,Transcriptional activator LAG-3,Family
PF01064.26,Activin_recp,Activin types I and II receptor domain,Domain
PF16840.8,ACTL7A_N,Actin-like protein 7A N-terminus,Domain
PF10000.12,ACT_3,ACT domain,Domain
PF13291.9,ACT_4,ACT domain,Domain
PF13710.9,ACT_5,ACT domain,Domain
PF13740.9,ACT_6,ACT domain,Domain
PF13840.9,ACT_7,ACT domain,Domain
PF19571.2,ACT_8,ACT domain pair,Domain
PF18859.4,acVLRF1,Actinobacteria/chloroflexi VLRF1 release factor,Family
PF01643.20,Acyl-ACP_TE,Acyl-ACP thioesterase,Family
PF00441.27,Acyl-CoA_dh_1,"Acyl-CoA dehydrogenase, C-terminal domain",Domain
PF08028.14,Acyl-CoA_dh_2,"Acyl-CoA dehydrogenase, C-terminal domain",Domain
PF12806.10,Acyl-CoA_dh_C,Acetyl-CoA dehydrogenase C-terminal like,Domain
PF02770.22,Acyl-CoA_dh_M,"Acyl-CoA dehydrogenase, middle domain",Domain
PF02771.19,Acyl-CoA_dh_N,"Acyl-CoA dehydrogenase, N-terminal domain",Domain
PF14749.9,Acyl-CoA_ox_N,Acyl-coenzyme A oxidase N-terminal,Domain
PF12590.11,Acyl-thio_N,Acyl-ATP thioesterase,Family
PF12186.11,AcylCoA_dehyd_C,Acyl-CoA dehydrogenase C terminal,Domain
PF12418.11,AcylCoA_DH_N,Acyl-CoA dehydrogenase N terminal,Family
PF00708.21,Acylphosphatase,Acylphosphatase,Domain
PF01553.24,Acyltransferase,Acyltransferase,Family
PF19576.2,Acyltransf_2,Acyltransferase,Domain
PF16076.8,Acyltransf_C,Acyltransferase C-terminus,Family
PF02551.18,Acyl_CoA_thio,Acyl-CoA thioesterase,Domain
PF00698.24,Acyl_transf_1,Acyl transferase domain,Domain
PF02273.18,Acyl_transf_2,Acyl transferase,Domain
PF01757.25,Acyl_transf_3,Acyltransferase family,Family
PF18883.3,AC_1,Autochaperone Domain Type 1,Repeat
PF16214.8,AC_N,Adenylyl cyclase N-terminal extracellular and transmembrane region,Family
PF09793.12,AD,Anticodon-binding domain,Domain
PF10198.12,Ada3,Histone acetyltransferases subunit 3,Family
PF16698.8,ADAM17_MPD,"Membrane-proximal domain, switch, for ADAM17",Domain
PF17771.4,ADAMTS_CR_2,ADAMTS cysteine-rich domain 2,Domain
PF19236.2,ADAMTS_CR_3,ADAMTS cysteine-rich domain,Domain
PF05986.17,ADAMTS_spacer1,ADAM-TS Spacer 1,Domain
PF08516.15,ADAM_CR,ADAM cysteine-rich,Family
PF10199.12,Adaptin_binding,Alpha and gamma adaptin binding protein p34,Family
PF01602.23,Adaptin_N,Adaptin N terminal region,Repeat
PF00928.24,Adap_comp_sub,Adaptor complexes medium subunit family,Family
PF02805.19,Ada_Zn_binding,Metal binding domain of Ada,Family
PF06314.14,ADC,Acetoacetate decarboxylase (ADC),Family
PF06327.17,Adcy_cons_dom,"Adenylate cyclase, conserved domain",Family
PF17981.4,ADD_ATRX,Cysteine Rich ADD domain,Domain
PF17980.4,ADD_DNMT3,Cysteine rich ADD domain in DNMT3,Domain
PF13382.9,Adenine_deam_C,Adenine deaminase C-terminal domain,Family
PF03352.16,Adenine_glyco,Methyladenine glycosylase,Family
PF04008.17,Adenosine_kin,Adenosine specific kinase,Family
PF02438.19,Adeno_100,Late 100kD protein,Family
PF03052.18,Adeno_52K,Adenoviral protein L1 52/55-kDa,Family
PF02703.17,Adeno_E1A,Early E1A protein,Family
PF01691.19,Adeno_E1B_19K,Adenovirus E1B 19K protein / small t-antigen,Family
PF01696.20,Adeno_E1B_55K,Adenovirus EB1 55K protein / large t-antigen,Repeat
PF04623.15,Adeno_E1B_55K_N,Adenovirus E1B protein N-terminus,Family
PF06040.14,Adeno_E3,Adenovirus E3 protein,Family
PF05248.15,Adeno_E3A,Adenovirus E3A,Family
PF03376.17,Adeno_E3B,Adenovirus E3B protein,Family
PF04834.15,Adeno_E3_14_5,Early E3 14.5 kDa protein,Family
PF03307.17,Adeno_E3_15_3,Adenovirus 15.3kD protein in E3 region,Family
PF02440.18,Adeno_E3_CR1,Adenovirus E3 region protein CR1,Domain
PF02439.18,Adeno_E3_CR2,Adenovirus E3 region protein CR2,Family
PF05385.14,Adeno_E4,Mastadenovirus early E4 13 kDa protein,Family
PF04528.16,Adeno_E4_34,Adenovirus early E4 34 kDa protein conserved region,Family
PF06931.14,Adeno_E4_ORF3,Mastadenovirus E4 ORF3 protein,Family
PF04881.16,Adeno_GP19K,Adenovirus GP19K,Family
PF01065.22,Adeno_hexon,"Hexon, adenovirus major coat protein, N-terminal domain",Domain
PF03678.17,Adeno_hexon_C,"Hexon, adenovirus major coat protein, C-terminal domain",Domain
PF02456.18,Adeno_IVa2,Adenovirus IVa2 protein,Domain
PF00541.20,Adeno_knob,Adenoviral fibre protein (knob domain),Domain
PF11081.11,Adeno_L433K_22K,Adenovirus L4-33K/L4-22K,Family
PF01686.20,Adeno_Penton_B,Adenovirus penton base protein,Family
