rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
RF01458,Listeria snRNA rli23,Gene; antisense;,52,129,5108,98.2,66,Rfam full
RF01459,Listeria sRNA rliE,Gene; sRNA;,5,226,1114,222.8,85,Rfam full
RF01460,Listeria sRNA rliH,Gene; sRNA;,4,429,1716,429.0,94,Rfam full
RF01461,Listeria sRNA rli22,Gene; sRNA;,7,158,1106,158.0,95,Rfam full
RF01462,Listeria sRNA rli26,Gene; sRNA;,6,188,1121,186.8,94,Rfam full
RF01464,Listeria sRNA rliA,Gene; sRNA;,7,359,1620,231.4,78,Rfam full
RF00694,microRNA mir-137,Gene; miRNA;,288,93,20573,71.4,80,Rfam full
RF01463,Listeria sRNA rli27,Gene; sRNA;,4,99,396,99.0,96,Rfam full
RF01465,Listeria sRNA rli31,Gene; sRNA;,4,116,461,115.2,91,Rfam full
RF01466,Listeria sRNA rli34,Gene; sRNA;,8,85,673,84.1,81,Rfam full
RF01467,Listeria sRNA rli36,Gene; sRNA;,7,84,588,84.0,96,Rfam full
RF01468,Listeria sRNA rli32,Gene; sRNA;,6,151,882,147.0,94,Rfam full
RF01469,Listeria sRNA rli33,Gene; sRNA;,6,614,2739,456.5,65,Rfam full
RF01471,Listeria sRNA rliB,Gene; sRNA;,9,424,2760,306.7,59,Rfam full
RF01470,Listeria sRNA rli38,Gene; sRNA;,96,291,14240,148.3,55,Rfam full
RF01473,Listeria sRNA rli41,Gene; sRNA;,11,537,5008,455.3,74,Rfam full
RF01472,Listeria sRNA rli40,Gene; sRNA;,5,264,1315,263.0,88,Rfam full
RF00695,microRNA MIR398,Gene; miRNA;,219,251,24213,110.6,53,Rfam full
RF01474,Listeia sRNA rli42,Gene; sRNA;,5,171,854,170.8,95,Rfam full
RF01475,Listeria snRNA rli45,Gene; antisense;,7,78,545,77.9,86,Rfam full
RF01476,Listeria sRNA rliF,Gene; sRNA;,9,242,1912,212.4,66,Rfam full
RF01478,Listeria sRNA rli47,Gene; sRNA;,10,513,5088,508.8,98,Rfam full
RF01480,Listeria sRNA rli52,Cis-reg;,7,97,667,95.3,95,Rfam full
RF01477,Listeria sRNA rli43,Gene; sRNA;,5,255,1270,254.0,95,Rfam full
RF01482,AdoCbl riboswitch,Cis-reg; riboswitch;,175,314,24176,138.1,47,Rfam full
RF01479,Listeria sRNA rli48,Gene; sRNA;,7,151,1046,149.4,92,Rfam full
RF01481,Listeria sRNA rli53,Cis-reg;,6,175,1041,173.5,96,Rfam full
RF01483,Listeria sRNA rli56,Cis-reg;,7,100,700,100.0,98,Rfam full
RF00696,microRNA mir-203,Gene; miRNA;,154,82,12135,78.8,76,Rfam full
RF01484,Listeria sRNA rli59,Cis-reg;,6,181,1086,181.0,97,Rfam full
RF01485,Listeria sRNA rli61,Cis-reg;,13,128,1384,106.5,81,Rfam full
RF01486,Listeria sRNA rli62,Cis-reg;,7,138,932,133.1,74,Rfam full
RF01488,Listeria sRNA rli49,Gene; sRNA;,6,163,978,163.0,93,Rfam full
RF01489,Listeria sRNA sbrA,Gene; sRNA;,35,99,2469,70.5,74,Rfam full
RF01490,Listeria snRNA rli51,Cis-reg;,12,125,1446,120.5,80,Rfam full
RF01491,Listeria sRNA rli54,Cis-reg;,9,587,3924,436.0,76,Rfam full
RF01487,Listeria sRNA rliI,Gene; sRNA;,12,340,2605,217.1,57,Rfam full
RF01493,Listeria sRNA rli37,Gene; sRNA;,5,258,1244,248.8,95,Rfam full
RF01492,Listeria sRNA rli28,Gene; sRNA;,418,520,76456,182.9,51,Rfam full
RF00697,microRNA mir-186,Gene; miRNA;,275,162,25230,91.7,60,Rfam full
RF00408,Small nucleolar RNA SNORA1,Gene; snRNA; snoRNA; HACA-box;,326,276,42783,131.2,69,Rfam full
RF01494,Listeria sRNA rliD,Gene; antisense;,97,747,26026,268.3,59,Rfam full
RF01495,Human acetyl-coA cholesterol acyltransferase mRNA,Cis-reg;,38,217,5611,147.7,67,Rfam full
RF01496,A. fumigatus sRNA Afu_182,Gene; sRNA;,298,561,58051,194.8,52,Rfam full
RF01499,A. fumigatus snoRNA Afu_191,Gene; snRNA; snoRNA; CD-box;,92,152,8872,96.4,75,Rfam full
RF01500,A. fumigatus snoRNA Afu_198,Gene; snRNA; snoRNA; CD-box;,122,396,17235,141.3,59,Rfam full
RF01501,A. fimigatus snoRNA Afu_199,Gene; snRNA; snoRNA; CD-box;,100,138,8127,81.3,75,Rfam full
RF01503,A. fumigatus sRNA Afu_203,Gene; sRNA;,11,142,1236,112.4,72,Rfam full
RF01504,A. fumigatus sRNA Afu_254,Gene; sRNA;,111,251,16714,150.6,57,Rfam full
RF01505,A. fumigatus snoRNA Afu_264,Gene; snRNA; snoRNA; CD-box;,252,397,24732,98.1,66,Rfam full
RF01506,A. fumigatus snoRNA Afu_294,Gene; snRNA; snoRNA; CD-box;,190,182,15611,82.2,68,Rfam full
RF00698,microRNA mir-489,Gene; miRNA;,123,87,10239,83.2,88,Rfam full
RF01507,A. fimigatus snoRNA Afu_298,Gene; snRNA; snoRNA; CD-box;,166,218,14733,88.8,75,Rfam full
RF01509,A. fumigatus snoRNA Afu_300,Gene; snRNA; snoRNA; CD-box;,269,183,24008,89.2,69,Rfam full
RF01510,M. florum riboswitch,Cis-reg; riboswitch;,5,64,317,63.4,80,Rfam full
RF01508,Barley yellow dwarf virus 5'UTR,Cis-reg;,8,155,1153,144.1,78,Rfam full
RF01511,A. fumigatus snoRNA Afu_304,Gene; snRNA; snoRNA; CD-box;,260,238,27191,104.6,63,Rfam full
RF01512,A. fumigatus sRNA Afu_309,Gene; sRNA;,281,851,85276,303.5,54,Rfam full
RF01514,A. fumigatus snoRNA Afu_513,Gene; snRNA; snoRNA; CD-box;,283,144,27578,97.4,77,Rfam full
RF01513,A. fumigatus snoRNA Afu_335,Gene; snRNA; snoRNA; CD-box;,285,171,27040,94.9,73,Rfam full
RF01516,Human herpesvirus 1 small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;,5,65,325,65.0,93,Rfam full
RF01515,A. fumigatus snoRNA Afu_514,Gene; snRNA; snoRNA; CD-box;,273,163,28656,105.0,68,Rfam full
RF00700,microRNA mir-375,Gene; miRNA;,204,120,13567,66.5,72,Rfam full
RF01518,"NoRC associated RNA, pRNA",Gene;,115,119,10205,88.7,57,Rfam full
RF01520,caulobacter sRNA CC0734,Gene; sRNA;,7,96,662,94.6,81,Rfam full
RF01517,iscR stability element,Cis-reg;,39,150,4237,108.6,81,Rfam full
RF01519,Caulobacter sRNA CC0196,Gene; sRNA;,15,75,881,58.7,74,Rfam full
RF01522,Trypanosomatid snoRNA TB10Cs1H1,Gene; snRNA; snoRNA; HACA-box;,73,76,5176,70.9,82,Rfam full
RF01523,Trypanosomatid snoRNA TB10Cs1H2,Gene; snRNA; snoRNA; HACA-box;,37,67,2394,64.7,82,Rfam full
RF01521,caulobacter sRNA CC1840,Gene; sRNA;,11,112,1079,98.1,70,Rfam full
RF01524,Trypanosomatid snoRNA TB10cs1H3,Gene; snRNA; snoRNA; HACA-box;,36,77,2647,73.5,78,Rfam full
RF01525,Trypanosomatid snoRNA TB10Cs2H1,Gene; snRNA; snoRNA; HACA-box;,34,69,2271,66.8,73,Rfam full
RF01526,C. elegans snoRNA ceN106,Gene; snRNA; snoRNA; CD-box;,9,81,708,78.7,92,Rfam full
RF00699,microRNA mir-134,Gene; miRNA;,46,73,3349,72.8,95,Rfam full
RF01527,Caulobacter sRNA CrfA,Gene; sRNA;,34,231,4243,124.8,61,Rfam full
RF01528,caulobacter sRNA CC3513,Gene; sRNA;,10,206,1637,163.7,62,Rfam full
RF01529,Cauldobacter sRNA CC3552,Gene; sRNA;,28,147,2921,104.3,76,Rfam full
RF01530,Caulobacter sRNA CC3664,Gene; sRNA;,15,204,2089,139.3,68,Rfam full
RF01531,Trypanosomatid snoRNA TB10Cs3H1,Gene; snRNA; snoRNA; HACA-box;,49,68,3095,63.2,81,Rfam full
RF01537,Trypanosomatid snoRNA TB11Cs2H1,Gene; snRNA; snoRNA; HACA-box;,71,73,4999,70.4,83,Rfam full
RF01534,Trypanosomatid snoRNA TB10Cs4H4,Gene; snRNA; snoRNA; HACA-box;,17,66,1107,65.1,88,Rfam full
RF00425,Small nucleolar RNA SNORA18,Gene; snRNA; snoRNA; HACA-box;,357,363,46491,130.2,72,Rfam full
RF00426,Small Cajal body specific RNA 15,Gene; snRNA; snoRNA; scaRNA;,148,187,18969,128.2,74,Rfam full
RF00427,Small Cajal body specific RNA 23,Gene; snRNA; snoRNA; scaRNA;,104,171,13200,126.9,71,Rfam full
RF00701,microRNA mir-126,Gene; miRNA;,262,77,19009,72.6,78,Rfam full
RF00428,Small nucleolar RNA SNORA38,Gene; snRNA; snoRNA; HACA-box;,211,317,27530,130.5,79,Rfam full
RF00429,Small nucleolar RNA SNORA29,Gene; snRNA; snoRNA; HACA-box;,246,296,33644,136.8,70,Rfam full
RF00431,Small nucleolar RNA SNORA55,Gene; snRNA; snoRNA; HACA-box;,267,262,35328,132.3,72,Rfam full
RF00430,Small nucleolar RNA SNORA54,Gene; snRNA; snoRNA; HACA-box;,219,211,27508,125.6,64,Rfam full
RF00433,Hsp90 cis-regulatory element,Cis-reg; thermoregulator;,14,154,2119,151.4,95,Rfam full
RF00432,Small nucleolar RNA SNORA51,Gene; snRNA; snoRNA; HACA-box;,600,460,78155,130.3,75,Rfam full
RF00434,Luteovirus cap-independent translation element (BTE),Cis-reg;,25,181,2555,102.2,62,Rfam full
RF00435,Repression of heat shock gene expression (ROSE) element,Cis-reg; thermoregulator;,251,228,24588,98.0,57,Rfam full
RF00436,UnaL2 LINE 3' element,Cis-reg;,53279,158,2879010,54.0,81,Rfam full
RF00437,Hairy RNA localisation element (HLE),Cis-reg;,10,137,1278,127.8,81,Rfam full
RF00704,microRNA MIR397,Gene; miRNA;,183,220,19849,108.5,58,Rfam full
RF00438,Small nucleolar RNA SNORA33,Gene; snRNA; snoRNA; HACA-box;,261,288,34178,131.0,72,Rfam full
RF00440,Small nucleolar RNA SNORD37,Gene; snRNA; snoRNA; CD-box;,123,96,8218,66.8,76,Rfam full
RF00441,Small nucleolar RNA Z242,Gene; snRNA; snoRNA; CD-box;,28,204,5318,189.9,84,Rfam full
RF00442,Guanidine-I riboswitch,Cis-reg; riboswitch;,931,370,101752,109.3,60,Rfam full
RF00445,mir-399 microRNA precursor family,Gene; miRNA;,833,290,95157,114.2,55,Rfam full
RF00446,mir-133 microRNA precursor family,Gene; miRNA;,667,135,58731,88.1,71,Rfam full
RF00443,Small nucleolar RNA SNORA27,Gene; snRNA; snoRNA; HACA-box;,199,216,25236,126.8,78,Rfam full
RF00447,Voltage-gated potassium-channel Kv1.4 IRES,Cis-reg; IRES;,43,306,10987,255.5,87,Rfam full
RF00448,Epstein-Barr virus nuclear antigen (EBNA) IRES,Cis-reg; IRES;,10,228,2139,213.9,85,Rfam full
RF00449,HIF-1 alpha IRES,Cis-reg; IRES;,43,437,11784,274.0,77,Rfam full
RF00703,microRNA mir-139,Gene; miRNA;,110,76,7435,67.6,86,Rfam full
RF00451,mir-395 microRNA precursor family,Gene; miRNA;,1090,308,110654,101.5,60,Rfam full
RF00452,mir-172 microRNA precursor family,Gene; miRNA;,655,415,84579,129.1,57,Rfam full
RF00454,p27 cis-regulatory element,Cis-reg;,36,75,2128,59.1,92,Rfam full
RF00455,mir-15 microRNA precursor family,Gene; miRNA;,334,98,28512,85.4,71,Rfam full
RF00453,Cardiovirus cis-acting replication element (CRE),Cis-reg;,5,33,165,33.0,81,Rfam full
RF00457,Mnt IRES,Cis-reg; IRES;,52,220,10334,198.7,93,Rfam full
RF00458,Cripavirus internal ribosome entry site (IRES),Cis-reg; IRES;,16,270,3187,199.2,52,Rfam full
RF00456,mir-34 microRNA precursor family,Gene; miRNA;,281,152,24272,86.4,68,Rfam full
RF00460,U1A polyadenylation inhibition element (PIE),Cis-reg;,128,97,9496,74.2,78,Rfam full
RF00461,Vascular endothelial growth factor (VEGF) IRES A,Cis-reg; IRES;,31,363,9559,308.4,90,Rfam full
RF00702,microRNA mir-182,Gene; miRNA;,119,119,9120,76.6,88,Rfam full
RF00462,APC internal ribosome entry site (IRES),Cis-reg; IRES;,6,53,318,53.0,85,Rfam full
RF00464,mir-92 microRNA precursor family,Gene; miRNA;,245,98,19389,79.1,77,Rfam full
RF00463,Apolipoprotein B (apoB) 5' UTR cis-regulatory element,Cis-reg;,14,129,1774,126.7,94,Rfam full
RF00468,Hepatitis C virus stem-loop VII,Cis-reg;,111,67,7256,65.4,74,Rfam full
RF00470,Togavirus 5' plus strand cis-regulatory element,Cis-reg;,35,310,9313,266.1,79,Rfam full
RF00471,Small nucleolar RNA snR48,Gene; snRNA; snoRNA; CD-box;,60,149,6425,107.1,72,Rfam full
RF00472,Small nucleolar RNA snR55/Z10,Gene; snRNA; snoRNA; CD-box;,59,131,5210,88.3,72,Rfam full
RF00467,Rous sarcoma virus (RSV) primer binding site (PBS),Cis-reg;,53,94,4336,81.8,88,Rfam full
RF00473,Small nucleolar RNA snR54,Gene; snRNA; snoRNA; CD-box;,73,138,6306,86.4,74,Rfam full
RF00474,Small nucleolar RNA snR57,Gene; snRNA; snoRNA; CD-box;,62,148,5735,92.5,72,Rfam full
RF00707,microRNA mir-197,Gene; miRNA;,38,75,2835,74.6,98,Rfam full
RF00475,Small nucleolar RNA snR69,Gene; snRNA; snoRNA; CD-box;,79,151,7566,95.8,63,Rfam full
RF00478,Small Cajal body specific RNA 6,Gene; snRNA; snoRNA; scaRNA;,230,518,61398,266.9,57,Rfam full
RF00477,Small nucleolar RNA snR66,Gene; snRNA; snoRNA; CD-box;,32,135,3325,103.9,76,Rfam full
RF00479,Small nucleolar RNA snR71,Gene; snRNA; snoRNA; CD-box;,65,116,6049,93.1,72,Rfam full
RF00480,HIV Ribosomal frameshift signal,Cis-reg; frameshift_element;,160,52,8300,51.9,84,Rfam full
RF00476,Small nucleolar RNA snR61/Z1/Z11,Gene; snRNA; snoRNA; CD-box;,634,186,53321,84.1,64,Rfam full
RF00481,Hepatitis C virus 3' X element,Cis-reg;,23,100,2294,99.7,96,Rfam full
RF00482,Small nucleolar RNA F1/F2/snoR5a,Gene; snRNA; snoRNA; HACA-box;,140,233,19687,140.6,72,Rfam full
RF00483,Insulin-like growth factor II IRES,Cis-reg; IRES;,36,132,4360,121.1,93,Rfam full
RF00485,Potassium channel RNA editing signal,Cis-reg;,3071,285,349549,113.8,64,Rfam full
RF00710,microRNA mir-44,Gene; miRNA;,61,100,4973,81.5,68,Rfam full
RF00484,Connexin-32 internal ribosome entry site (IRES),Cis-reg; IRES;,41,161,6109,149.0,92,Rfam full
RF00487,Connexin-43 internal ribosome entry site (IRES),Cis-reg; IRES;,141,305,27679,196.3,73,Rfam full
RF00486,mir-129 microRNA precursor family,Gene; miRNA;,177,115,16006,90.4,81,Rfam full
RF00488,Yeast U1 spliceosomal RNA,Gene; snRNA; splicing;,40,1093,20527,513.2,56,Rfam full
RF00490,S-element,Cis-reg;,218,111,14790,67.8,77,Rfam full
RF00492,small Cajal body-specific RNA 17,Gene; snRNA; snoRNA; scaRNA;,76,199,10658,140.2,74,Rfam full
RF00494,Small nucleolar RNA U2-19,Gene; snRNA; snoRNA; CD-box;,250,112,20089,80.4,76,Rfam full
RF00495,Heat shock protein 70 (Hsp70) internal ribosome entry site (IRES),Cis-reg; IRES;,44,242,9465,215.1,84,Rfam full
RF00498,Equine arteritis virus leader TRS hairpin (LTH),Cis-reg; leader;,7,45,315,45.0,98,Rfam full
RF00500,Turnip crinkle virus (TCV) repressor of minus strand synthesis H5,Cis-reg;,5,46,226,45.2,97,Rfam full
RF00711,microRNA mir-449,Gene; miRNA;,461,175,41632,90.3,55,Rfam full
RF00410,Small nucleolar RNA SNORA2/SNORA34 family,Gene; snRNA; snoRNA; HACA-box;,1235,425,166373,134.7,77,Rfam full
RF00499,Human parechovirus 1 (HPeV1) cis regulatory element (CRE),Cis-reg;,6,118,664,110.7,74,Rfam full
RF00502,Turnip crinkle virus (TCV) core promoter hairpin (Pr),Cis-reg;,4,34,132,33.0,92,Rfam full
RF00501,Rotavirus cis-acting replication element (CRE),Cis-reg;,15,68,1017,67.8,87,Rfam full
RF00504,Glycine riboswitch,Cis-reg; riboswitch;,4600,555,461250,100.3,53,Rfam full
RF00503,RNAIII,Gene;,27,918,12309,455.9,57,Rfam full
RF00506,Threonine operon leader,Cis-reg; leader;,193,212,22942,118.9,69,Rfam full
RF00505,RydC RNA,Gene; sRNA;,21,66,1350,64.3,81,Rfam full
RF00507,Coronavirus frameshifting stimulation element,Cis-reg; frameshift_element;,206,81,15996,77.7,69,Rfam full
RF00509,Small nucleolar RNA snR64,Gene; snRNA; snoRNA; CD-box;,52,139,5312,102.2,77,Rfam full
RF00510,Tombusvirus internal replication element (IRE),Cis-reg;,24,96,2131,88.8,84,Rfam full
RF00714,microRNA MIR535,Gene; miRNA;,157,136,16011,102.0,65,Rfam full
RF00511,Kaposi's sarcoma-associated herpesvirus internal ribosome entry site,Cis-reg; IRES;,5,248,1240,248.0,99,Rfam full
RF00512,Leucine operon leader,Cis-reg; leader;,115,254,16829,146.3,62,Rfam full
RF00514,Histidine operon leader,Cis-reg; leader;,285,221,36385,127.7,64,Rfam full
RF00513,Tryptophan operon leader,Cis-reg; leader;,182,181,18344,100.8,57,Rfam full
RF00516,ylbH leader,Cis-reg; leader;,234,296,27744,118.6,68,Rfam full
RF00519,Makes More Granules Regulator RNA (mmgR),Gene; sRNA;,1027,160,78035,76.0,57,Rfam full
RF00518,speF leader,Cis-reg; leader;,228,359,34191,150.0,51,Rfam full
RF00520,ybhL leader,Cis-reg; leader;,82,154,6167,75.2,73,Rfam full
RF00521,SAM riboswitch (alpha-proteobacteria),Cis-reg; riboswitch;,818,124,63699,77.9,63,Rfam full
RF00522,PreQ1 riboswitch,Cis-reg; riboswitch;,398,71,17897,45.0,69,Rfam full
RF00712,microRNA mir-460,Gene; miRNA;,165,84,12497,75.7,75,Rfam full
RF00517,serC leader,Cis-reg; leader;,611,71,31964,52.3,71,Rfam full
RF00523,Prion pseudoknot,Cis-reg;,241,71,9944,41.3,83,Rfam full
RF00525,Flavivirus DB element,Cis-reg;,116,84,8387,72.3,71,Rfam full
RF00526,Small nucleolar RNA Me28S-U3344,Gene; snRNA; snoRNA; CD-box;,43,104,3580,83.3,74,Rfam full
RF00527,Small nucleolar RNA Me28S-Gm3255,Gene; snRNA; snoRNA; CD-box;,29,101,2384,82.2,73,Rfam full
RF00528,Small nucleolar RNA Me28S-Gm1083,Gene; snRNA; snoRNA; CD-box;,78,118,7103,91.1,82,Rfam full
RF00529,Small nucleolar RNA Me28S-Am2589,Gene; snRNA; snoRNA; CD-box;,104,224,11562,111.2,60,Rfam full
RF00530,Small nucleolar RNA Me28S-Cm2645,Gene; snRNA; snoRNA; CD-box;,76,92,5712,75.2,75,Rfam full
RF00531,Small nucleolar RNA Me28S-Gm3113,Gene; snRNA; snoRNA; CD-box;,33,93,2757,83.5,76,Rfam full
RF00533,Small nucleolar RNA Me18S-Gm1358,Gene; snRNA; snoRNA; CD-box;,35,91,2672,76.3,77,Rfam full
RF00716,microRNA mir-3,Gene; miRNA;,97,104,6968,71.8,68,Rfam full
RF00532,Small nucleolar RNA Me18S-Um1356,Gene; snRNA; snoRNA; CD-box;,62,110,5351,86.3,73,Rfam full
RF00535,Small nucleolar RNA Me28S-Am982,Gene; snRNA; snoRNA; CD-box;,60,91,4653,77.5,68,Rfam full
RF00534,SgrS RNA,Gene; antisense;,54,597,13332,246.9,57,Rfam full
RF00536,Small nucleolar RNA Me28S-Cm3227,Gene; snRNA; snoRNA; CD-box;,42,95,3415,81.3,81,Rfam full
RF00540,Small nucleolar RNA psi18S-1854,Gene; snRNA; snoRNA; HACA-box;,58,179,9051,156.1,73,Rfam full
RF00539,Small nucleolar RNA Me28S-Cm788,Gene; snRNA; snoRNA; CD-box;,24,87,1754,73.1,82,Rfam full
RF00542,Small nucleolar RNA psi28S-1192,Gene; snRNA; snoRNA; HACA-box;,77,211,10896,141.5,65,Rfam full
RF00541,Small nucleolar RNA psi28S-2876,Gene; snRNA; snoRNA; HACA-box;,19,164,2767,145.6,81,Rfam full
RF00543,Small nucleolar RNA psi18S-1377,Gene; snRNA; snoRNA; HACA-box;,89,228,12244,137.6,61,Rfam full
RF00544,Small nucleolar RNA psi28S-3327,Gene; snRNA; snoRNA; HACA-box;,53,249,7680,144.9,69,Rfam full
