rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
PF01073.22,3-beta hydroxysteroid dehydrogenase/isomerase family,Family,7490,3069,1758731,234.8,25,Pfam full
PF06725.14,3D domain,Domain,5205,231,358104,68.8,37,Pfam full
PF02829.17,3H domain,Family,1065,152,103484,97.2,39,Pfam full
PF10605.12,3HB-oligomer hydrolase (3HBOH),Family,389,1190,182584,469.4,33,Pfam full
PF00725.25,"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain",Domain,31477,485,2969665,94.3,27,Pfam full
PF02737.21,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain",Domain,27558,1320,4857088,176.2,32,Pfam full
PF18321.4,3-hydroxybutyryl-CoA dehydrogenase reduced Rossmann-fold domain,Domain,551,130,37127,67.4,39,Pfam full
PF06439.14,3-keto-disaccharide hydrolase,Domain,8928,1062,1750089,196.0,21,Pfam full
PF16121.8,40S ribosomal protein S4 C-terminus,Family,2489,79,116329,46.7,64,Pfam full
PF16122.8,40S ribosomal protein SA C-terminus,Family,1507,354,135619,90.0,39,Pfam full
PF04419.17,4F5 protein related disordered region,Disordered,2935,98,107624,36.7,34,Pfam full
PF17947.4,Four helical bundle domain,Domain,556,146,42890,77.1,41,Pfam full
PF03061.25,Thioesterase superfamily,Domain,49362,426,3905874,79.1,17,Pfam full
PF13279.9,Thioesterase-like superfamily,Domain,12156,1064,1542995,126.9,17,Pfam full
PF13622.9,Thioesterase-like superfamily,Domain,10727,1627,2704233,252.1,22,Pfam full
PF12729.10,Four helix bundle sensory module for signal transduction,Family,10055,1056,1773675,176.4,13,Pfam full
PF04476.16,4-HFC-P synthase,Family,464,535,99787,215.1,35,Pfam full
PF18671.4,4-Hydroxyphenylacetate decarboxylase subunit gamma N-terminal,Domain,32,47,990,30.9,46,Pfam full
PF17837.4,4'-phosphopantetheinyl transferase N-terminal domain,Domain,1682,255,113969,67.8,39,Pfam full
PF05902.16,4.1 protein C-terminal domain (CTD),Domain,5420,348,539437,99.5,63,Pfam full
PF01812.23,5-formyltetrahydrofolate cyclo-ligase family,Family,10626,1340,1908056,179.6,23,Pfam full
PF06189.15,5'-nucleotidase,Family,2053,619,516265,251.5,47,Pfam full
PF09038.13,Tumour suppressor p53-binding protein-1 Tudor,Domain,604,335,71397,118.2,70,Pfam full
PF03491.16,"Serotonin (5-HT) neurotransmitter transporter, N-terminus",Family,201,93,7867,39.1,58,Pfam full
PF07694.15,5TMR of 5TMR-LYT,Domain,2278,631,380138,166.9,19,Pfam full
PF01367.23,"5'-3' exonuclease, C-terminal SAM fold",Domain,10886,381,1054198,96.8,34,Pfam full
PF02739.19,"5'-3' exonuclease, N-terminal resolvase-like domain",Domain,11311,801,1894271,167.5,34,Pfam full
PF05761.17,5' nucleotidase family,Family,5547,2029,1955515,352.5,32,Pfam full
PF02872.21,"5'-nucleotidase, C-terminal domain",Domain,12709,971,2124152,167.1,21,Pfam full
PF02096.23,60Kd inner membrane protein,Family,12753,1187,2569781,201.5,26,Pfam full
PF01591.21,6-phosphofructo-2-kinase,Domain,8422,1189,1656100,196.6,43,Pfam full
PF00393.22,"6-phosphogluconate dehydrogenase, C-terminal domain",Domain,9912,871,2234083,225.4,39,Pfam full
PF02294.21,7kD DNA-binding domain,Domain,23,61,1305,56.7,85,Pfam full
PF07698.14,7TM receptor with intracellular HD hydrolase,Domain,1947,508,375568,192.9,19,Pfam full
PF07696.14,7TMR-DISM extracellular 2,Domain,2867,565,380162,132.6,18,Pfam full
PF07695.14,7TM diverse intracellular signalling,Domain,4685,737,949063,202.6,16,Pfam full
PF07697.14,7TM-HD extracellular,Domain,1871,1134,426445,227.9,17,Pfam full
PF00001.24,7 transmembrane receptor (rhodopsin family),Family,127566,4506,32522615,254.9,19,Pfam full
PF00002.27,7 transmembrane receptor (Secretin family),Family,30397,1980,6955934,228.8,24,Pfam full
PF00003.25,7 transmembrane sweet-taste receptor of 3 GCPR,Domain,20570,1468,5020592,244.1,26,Pfam full
PF13853.9,Olfactory receptor,Family,78954,2425,20616583,261.1,36,Pfam full
PF02949.23,7tm Odorant receptor,Family,10148,2046,2583732,254.6,14,Pfam full
PF08395.15,7tm Chemosensory receptor,Family,4215,1711,1251230,296.9,12,Pfam full
PF02117.19,Serpentine type 7TM GPCR chemoreceptor Sra,Family,273,1295,67504,247.3,18,Pfam full
PF10292.12,Serpentine type 7TM GPCR receptor class ab chemoreceptor,Family,880,1658,199890,227.1,15,Pfam full
PF02175.19,Serpentine type 7TM GPCR chemoreceptor Srb,Family,120,804,20743,172.9,32,Pfam full
PF10316.12,Serpentine type 7TM GPCR chemoreceptor Srbc,Family,580,1027,120150,207.2,19,Pfam full
PF10317.12,Serpentine type 7TM GPCR chemoreceptor Srd,Family,1235,2023,241770,195.8,16,Pfam full
PF10318.12,Serpentine type 7TM GPCR chemoreceptor Srh,Family,2115,1899,476765,225.4,17,Pfam full
PF10327.12,Serpentine type 7TM GPCR chemoreceptor Sri,Family,657,1967,139308,212.0,17,Pfam full
PF10319.12,Serpentine type 7TM GPCR chemoreceptor Srj,Family,332,2165,73066,220.1,31,Pfam full
PF10320.12,Serpentine type 7TM GPCR chemoreceptor Srsx,Family,1241,2588,235212,189.5,14,Pfam full
PF10321.12,Serpentine type 7TM GPCR chemoreceptor Srt,Family,1240,1388,266034,214.5,20,Pfam full
PF10322.12,Serpentine type 7TM GPCR chemoreceptor Sru,Family,495,749,105549,213.2,23,Pfam full
PF10323.12,Serpentine type 7TM GPCR chemoreceptor Srv,Family,864,2006,177952,206.0,13,Pfam full
PF10324.12,Serpentine type 7TM GPCR chemoreceptor Srw,Family,3174,1803,723555,228.0,16,Pfam full
PF10328.12,Serpentine type 7TM GPCR chemoreceptor Srx,Family,2155,1871,395559,183.6,15,Pfam full
PF10325.12,Serpentine type 7TM GPCR chemoreceptor Srz,Family,525,673,100972,192.3,20,Pfam full
PF10326.12,Serpentine type 7TM GPCR chemoreceptor Str,Family,3033,1857,636911,210.0,18,Pfam full
PF14402.9,7 transmembrane helices usually fused to an inactive transglutaminase,Family,509,372,123564,242.8,46,Pfam full
PF17028.8,8TM Microsporidial transmembrane domain,Family,23,513,5434,236.3,20,Pfam full
PF07388.14,"Alpha-2,8-polysialyltransferase (POLYST)",Family,641,1212,192468,300.3,28,Pfam full
PF07966.15,A1 Propeptide,Motif,2457,49,63998,26.0,39,Pfam full
PF08792.13,A2L zinc ribbon domain,Domain,100,51,3146,31.5,32,Pfam full
PF00207.25,Alpha-2-macroglobulin family,Family,9198,329,829541,90.2,26,Pfam full
PF07703.17,Alpha-2-macroglobulin bait region domain,Domain,8356,1143,1211692,145.0,20,Pfam full
PF07677.17,A-macroglobulin receptor binding domain,Domain,6015,360,540311,89.8,29,Pfam full
PF03443.17,Auxiliary Activity family 9 (formerly GH61),Family,6553,1126,1345268,205.3,31,Pfam full
PF00004.32,ATPase family associated with various cellular activities (AAA),Domain,182497,1527,23706186,129.9,26,Pfam full
PF09820.12,Predicted AAA-ATPase,Family,3630,1381,892231,245.8,26,Pfam full
PF12846.10,AAA-like domain,Domain,1272,1711,413308,324.9,22,Pfam full
PF13086.9,AAA domain,Domain,31204,3116,5676024,181.9,18,Pfam full
PF13087.9,AAA domain,Domain,26050,1801,5020657,192.7,25,Pfam full
PF13166.9,AAA domain,Domain,1043,3032,487133,467.0,15,Pfam full
PF13173.9,AAA domain,Family,6721,724,850102,126.5,23,Pfam full
PF13175.9,AAA ATPase domain,Domain,5869,3442,1362835,232.2,13,Pfam full
PF13191.9,AAA ATPase domain,Domain,21433,1263,3654049,170.5,17,Pfam full
PF13207.9,AAA domain,Domain,1189,905,152917,128.6,20,Pfam full
PF13238.9,AAA domain,Domain,5511,788,727281,132.0,19,Pfam full
PF13245.9,AAA domain,Domain,11629,1948,3042421,261.6,18,Pfam full
PF07724.17,AAA domain (Cdc48 subfamily),Domain,40114,1088,7009761,174.7,36,Pfam full
PF13304.9,"AAA domain, putative AbiEii toxin, Type IV TA system",Domain,10688,2763,2141064,200.3,15,Pfam full
PF13401.9,AAA domain,Domain,10068,842,1359241,135.0,18,Pfam full
PF13476.9,AAA domain,Domain,12658,2791,3245142,256.4,14,Pfam full
PF13479.9,AAA domain,Domain,1628,725,334110,205.2,16,Pfam full
PF13481.9,AAA domain,Domain,11848,1010,1994409,168.3,28,Pfam full
PF13500.9,AAA domain,Domain,9473,1353,1957168,206.6,21,Pfam full
PF13514.9,AAA domain,Domain,1567,1264,291202,185.8,24,Pfam full
PF13521.9,AAA domain,Domain,3957,996,652664,164.9,20,Pfam full
PF13555.9,P-loop containing region of AAA domain,Domain,1369,193,81360,59.4,36,Pfam full
PF07726.14,ATPase family associated with various cellular activities (AAA),Domain,14581,788,1911173,131.1,59,Pfam full
PF13604.9,AAA domain,Domain,12123,1778,2367433,195.3,23,Pfam full
PF13614.9,AAA domain,Domain,30696,1364,5298894,172.6,25,Pfam full
PF13654.9,"LonB-like, AAA domain",Domain,1570,237,202496,129.0,37,Pfam full
PF13671.9,AAA domain,Domain,15448,1163,2072477,134.2,18,Pfam full
PF13872.9,P-loop containing NTP hydrolase pore-1,Domain,3138,1138,872540,278.1,53,Pfam full
PF14516.9,AAA-like domain,Family,1737,1891,548916,316.0,24,Pfam full
PF07728.17,AAA domain (dynein-related subfamily),Domain,29830,1166,3906282,131.0,21,Pfam full
PF12774.10,Hydrolytic ATP binding site of dynein motor region,Domain,11774,2710,3389344,287.9,47,Pfam full
PF12775.10,P-loop containing dynein motor region,Domain,10575,1344,1804314,170.6,32,Pfam full
PF12780.10,P-loop containing dynein motor region D4,Domain,10775,1611,2604141,241.7,35,Pfam full
PF12781.10,ATP-binding dynein motor region,Domain,10710,1321,2203553,205.7,40,Pfam full
PF14363.9,Domain associated at C-terminal with AAA,Family,3714,389,354268,95.4,25,Pfam full
PF16193.8,AAA C-terminal domain,Family,9239,308,749251,81.1,36,Pfam full
PF09821.12,C-terminal AAA-associated domain,Domain,699,184,82535,118.1,37,Pfam full
PF17857.4,AAA+ lid domain,Domain,7464,576,726804,97.4,35,Pfam full
PF17872.4,AAA lid domain,Domain,2461,279,160163,65.1,40,Pfam full
PF18198.4,Dynein heavy chain AAA lid domain,Domain,10242,723,1424981,139.1,37,Pfam full
PF17863.4,AAA lid domain,Domain,17967,184,1305627,72.7,31,Pfam full
PF17862.4,AAA+ lid domain,Domain,65108,308,3111028,47.8,31,Pfam full
PF17864.4,RuvB AAA lid domain,Domain,7888,179,583034,73.9,54,Pfam full
PF17865.4,Midasin AAA lid domain,Domain,1774,270,183278,103.3,38,Pfam full
PF17866.4,AAA lid domain,Domain,4940,228,304047,61.5,26,Pfam full
PF17867.4,Midasin AAA lid domain,Domain,5005,456,525397,105.0,22,Pfam full
PF17868.4,AAA lid domain,Domain,747,214,54494,73.0,30,Pfam full
PF17871.4,AAA lid domain,Domain,22768,422,2416685,106.1,42,Pfam full
PF08298.14,PrkA AAA domain,Domain,2282,1126,787482,345.1,45,Pfam full
PF18280.4,Aminoglycoside adenyltransferase C-terminal domain,Domain,13,106,1340,103.1,69,Pfam full
PF04611.15,Mating type protein A alpha Y mating type dependent binding region,Family,2,146,290,145.0,48,Pfam full
PF03306.16,Alpha-acetolactate decarboxylase,Domain,1215,633,246426,202.8,30,Pfam full
PF05282.14,AAR2 protein,Repeat,1734,1964,540322,311.6,25,Pfam full
PF08142.15,AARP2CN (NUC121) domain,Domain,3687,417,306649,83.2,36,Pfam full
PF03417.19,Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase,Domain,3092,1263,675852,218.6,18,Pfam full
PF07247.15,Alcohol acetyltransferase,Family,1419,2264,485696,342.3,15,Pfam full
PF13339.9,Apoptosis antagonizing transcription factor,Family,1754,693,238894,136.2,27,Pfam full
PF00696.31,Amino acid kinase family,Family,46527,1522,11018408,236.8,20,Pfam full
PF00324.24,Amino acid permease,Domain,36712,4834,14017431,381.8,20,Pfam full
PF13520.9,Amino acid permease,Family,59408,3968,24324644,409.5,17,Pfam full
PF13906.9,C-terminus of AA_permease,Domain,6093,174,304831,50.0,42,Pfam full
PF08403.13,Amino acid permease N-terminal,Family,2018,162,132949,65.9,41,Pfam full
PF06684.14,Amino acid synthesis,Family,1164,307,203178,174.6,43,Pfam full
PF01490.21,Transmembrane amino acid transporter protein,Family,39624,3389,13360380,337.2,16,Pfam full
PF14108.9,ABA DEFICIENT 4-like,Family,925,411,115418,124.8,32,Pfam full
PF07336.14,Putative stress-induced transcription regulator,Family,4685,591,597120,127.5,20,Pfam full
PF12430.11,Abscisic acid G-protein coupled receptor,Family,1735,676,290886,167.7,38,Pfam full
PF02496.19,ABA/WDS induced protein,Family,716,163,52783,73.7,56,Pfam full
PF14156.9,Antirepressor AbbA,Family,35,78,2147,61.3,41,Pfam full
PF00950.20,ABC 3 transport family,Family,11921,1544,2988124,250.7,27,Pfam full
PF03109.19,ABC1 atypical kinase-like domain,Domain,22853,1850,5154590,225.6,27,Pfam full
PF01061.27,ABC-2 type transporter,Family,70903,1661,14535210,205.0,16,Pfam full
PF12679.10,ABC-2 family transporter protein,Domain,12558,2757,3374862,268.7,12,Pfam full
PF12698.10,ABC-2 family transporter protein,Family,36270,3913,12167996,335.5,11,Pfam full
PF12730.10,ABC-2 family transporter protein,Family,4984,1252,905296,181.6,15,Pfam full
PF13346.9,ABC-2 family transporter protein,Family,1696,862,343166,202.3,14,Pfam full
PF06182.14,ABC-2 family transporter protein,Family,4312,909,988737,229.3,20,Pfam full
PF19055.3,ABC-2 type transporter,Family,25970,3458,2936373,113.1,27,Pfam full
PF09818.12,ATPase of the ABC class,Domain,1006,1093,266310,264.7,49,Pfam full
PF09819.12,"ABC-type cobalt transport system, permease component",Family,1372,215,166202,121.1,33,Pfam full
PF16962.8,Putative ABC exporter,Family,204,1242,101869,499.4,17,Pfam full
PF00664.26,ABC transporter transmembrane region,Family,159100,2765,41650902,261.8,14,Pfam full
PF06472.18,ABC transporter transmembrane region 2,Family,7523,1413,1880984,250.0,26,Pfam full
PF13748.9,ABC transporter transmembrane region,Family,114,747,25767,226.0,32,Pfam full
PF20446.1,ATPase of the ABC class N-terminal,Domain,906,503,145640,160.8,35,Pfam full
PF04392.15,ABC transporter substrate binding protein,Family,4102,1720,1138001,277.4,25,Pfam full
PF20220.1,ABC toxin N-terminal region,Family,396,291,49083,123.9,36,Pfam full
PF00005.30,ABC transporter,Domain,838816,2443,124603300,148.5,26,Pfam full
PF09822.12,ABC-type uncharacterized transport system,Family,2936,1330,700303,238.5,19,Pfam full
PF03886.16,ABC-type transport auxiliary lipoprotein component,Family,3109,556,495453,159.4,17,Pfam full
PF06541.14,Putative ABC-transporter type IV,Family,2652,481,393029,148.2,24,Pfam full
PF14510.9,ABC-transporter N-terminal,Domain,8102,459,865099,106.8,19,Pfam full
PF16949.8,Putative ATP-binding cassette,Family,368,1967,176701,480.2,16,Pfam full
PF16326.8,ABC transporter C-terminal domain,Coiled-coil,8692,225,603650,69.4,26,Pfam full
PF12848.10,ABC transporter,Domain,29083,336,2488786,85.6,23,Pfam full
PF12407.11,Homeobox protein,Disordered,137,37,3317,24.2,86,Pfam full
PF05270.16,Alpha-L-arabinofuranosidase B (ABFB) domain,Domain,2183,418,277862,127.3,28,Pfam full
PF18225.4,Sensor histidine kinase (AbfS) sensor domain,Domain,23,79,1438,62.5,26,Pfam full
PF03806.16,AbgT putative transporter family,Family,1946,1867,901995,463.5,38,Pfam full
PF09752.12,Alpha/beta hydrolase domain containing 18,Family,1436,1692,399356,278.1,33,Pfam full
PF00561.23,alpha/beta hydrolase fold,Domain,104788,2754,22374184,213.5,15,Pfam full
PF20091.2,Alpha/beta hydrolase domain,Domain,688,1793,316747,460.4,22,Pfam full
PF20408.1,Alpha/beta hydrolase domain,Domain,3417,946,598622,175.2,25,Pfam full
PF02230.19,Phospholipase/Carboxylesterase,Domain,12223,1980,2314984,189.4,21,Pfam full
PF07859.16,alpha/beta hydrolase fold,Domain,40823,2012,7720228,189.1,22,Pfam full
PF08386.13,TAP-like protein,Family,6597,553,649512,98.5,21,Pfam full
PF12695.10,Alpha/beta hydrolase family,Domain,814,918,128756,158.2,33,Pfam full
PF12697.10,Alpha/beta hydrolase family,Domain,77902,3092,18752026,240.7,14,Pfam full
PF12715.10,Abhydrolase family,Domain,420,1614,124557,296.6,22,Pfam full
PF06259.15,Alpha/beta hydrolase,Family,1969,943,333583,169.4,30,Pfam full
PF10081.12,Alpha/beta-hydrolase family,Family,1014,504,261766,258.2,40,Pfam full
PF15420.9,Alpha/beta-hydrolase family N-terminus,Family,905,473,184756,204.2,29,Pfam full
PF04083.19,Partial alpha/beta-hydrolase lipase region,Family,4499,377,290310,64.5,35,Pfam full
PF08843.14,"Nucleotidyl transferase AbiEii toxin, Type IV TA system",Domain,4981,992,1102778,221.4,14,Pfam full
PF09407.13,AbiEi antitoxin C-terminal domain,Domain,478,471,64468,134.9,19,Pfam full
PF09952.12,"Transcriptional regulator, AbiEi antitoxin, Type IV TA system",Family,343,414,48889,142.5,24,Pfam full
PF11459.11,"Transcriptional regulator, AbiEi antitoxin, Type IV TA system",Family,516,335,78370,151.9,32,Pfam full
PF17194.7,"Transcriptional regulator, AbiEi antitoxin N-terminal domain",Domain,521,185,47603,91.4,34,Pfam full
PF13338.9,"Transcriptional regulator, AbiEi antitoxin",Domain,1593,116,75082,47.1,25,Pfam full
PF10899.11,"Putative abortive phage resistance protein AbiGi, antitoxin",Family,130,620,22462,172.8,18,Pfam full
PF16873.8,Putative abortive phage resistance protein AbiGii toxin,Domain,14,521,4874,348.1,20,Pfam full
PF20578.1,Atrophied bacterial Ig domain,Domain,1765,374,153210,86.8,29,Pfam full
PF14253.9,Bacteriophage abortive infection AbiH,Family,439,1240,116977,266.5,18,Pfam full
PF18860.4,AbiJ N-terminal domain 3,Domain,195,357,31643,162.3,28,Pfam full
PF18863.4,AbiJ N-terminal domain 4,Domain,238,425,36792,154.6,17,Pfam full
PF18865.4,AbiJ N-terminal domain 5,Domain,40,117,3577,89.4,31,Pfam full
PF18864.4,AbiTii,Domain,261,401,47437,181.8,18,Pfam full
PF07751.14,Abi-like protein,Family,1715,742,310233,180.9,22,Pfam full
PF14337.9,Abortive infection alpha,Family,429,575,73014,170.2,21,Pfam full
PF14355.9,Abortive infection C-terminus,Family,521,151,40952,78.6,24,Pfam full
PF07815.17,Abl-interactor HHR,Family,3183,152,243788,76.6,68,Pfam full
PF16182.8,Putative adherens-junction anchoring region of AbLIM,Family,6417,1412,1298042,202.3,29,Pfam full
PF03992.19,Antibiotic biosynthesis monooxygenase,Domain,20433,361,1564986,76.6,16,Pfam full
PF09441.13,ARS binding protein 2,Family,404,288,65868,163.0,56,Pfam full
PF05145.15,Transition state regulatory protein AbrB,Family,2672,649,764495,286.1,24,Pfam full
PF14250.9,AbrB-like transcriptional regulator,Family,390,91,26698,68.5,57,Pfam full
PF18277.4,AbrB C-terminal domain,Domain,454,47,16710,36.8,55,Pfam full
PF07280.14,Per os infectivity factor AC110,Family,17,50,735,43.2,37,Pfam full
PF20520.1,V0 complex accessory subunit Ac45/VOA1 transmembrane domain,Domain,1975,63,76549,38.8,37,Pfam full
PF05814.14,Orf76 (Ac76),Family,23,118,1819,79.1,36,Pfam full
PF05820.14,Baculoviridae AC81,Family,35,270,5931,169.5,32,Pfam full
PF08900.14,Transcriptional regulator AcaB,Family,248,371,51848,209.1,39,Pfam full
PF16177.8,Acetyl-coenzyme A synthetase N-terminus,Family,16566,301,942623,56.9,31,Pfam full
PF13000.10,Acetyl-coenzyme A transporter 1,Family,4633,1819,834374,180.1,16,Pfam full
PF00887.22,Acyl CoA binding protein,Domain,8768,535,680314,77.6,34,Pfam full
PF05528.14,"Accessory protein 5b, avian coronavirus",Family,5,92,405,81.0,65,Pfam full
PF03255.17,Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit,Family,5979,524,822336,137.5,48,Pfam full
PF08326.15,"Acetyl-CoA carboxylase, central region",Family,4059,2733,2327332,573.4,34,Pfam full
PF13822.9,Acyl-CoA carboxylase epsilon subunit,Family,1909,157,113967,59.7,33,Pfam full
PF16671.8,Actin cross-linking domain,Domain,7,427,2591,370.1,38,Pfam full
PF14733.9,AP2-coincident C-terminal,Family,360,503,36502,101.4,21,Pfam full
PF09317.14,"Acyl-CoA dehydrogenase, C-terminal, bacterial type",Domain,1460,484,400248,274.1,35,Pfam full
PF06315.14,Isocitrate dehydrogenase kinase/phosphatase (AceK) kinase domain,Domain,816,378,206802,253.4,55,Pfam full
PF20423.1,"Isocitrate dehydrogenase kinase/phosphatase (AceK), regulatory domain",Domain,817,522,243106,297.6,38,Pfam full
PF00871.20,Acetokinase family,Family,8988,1979,3107744,345.8,36,Pfam full
PF09290.14,"Prokaryotic acetaldehyde dehydrogenase, dimerisation",Domain,1685,279,245959,146.0,60,Pfam full
PF08882.14,Acetone carboxylase gamma subunit,Domain,307,177,32792,106.8,36,Pfam full
PF02550.18,Acetyl-CoA hydrolase/transferase N-terminal domain,Domain,4554,869,878333,192.9,24,Pfam full
PF13336.9,Acetyl-CoA hydrolase/transferase C-terminal domain,Domain,5381,474,807095,150.0,39,Pfam full
PF00583.28,Acetyltransferase (GNAT) family,Family,154452,1092,18686854,121.0,15,Pfam full
PF13673.10,Acetyltransferase (GNAT) domain,Domain,26587,1051,3157255,118.8,16,Pfam full
PF13720.9,Udp N-acetylglucosamine O-acyltransferase; Domain 2,Domain,4884,289,401993,82.3,33,Pfam full
PF13880.9,ESCO1/2 acetyl-transferase,Domain,1783,231,120527,67.6,44,Pfam full
PF03421.19,YopJ Serine/Threonine acetyltransferase,Family,62,316,10545,170.1,20,Pfam full
PF17013.8,Putative acetyl-transferase,Family,24,504,5162,215.1,25,Pfam full
PF05301.14,"GNAT acetyltransferase, Mec-17",Family,1098,487,176631,160.9,47,Pfam full
PF17668.4,Acetyltransferase (GNAT) domain,Domain,2759,392,324753,117.7,21,Pfam full
PF18014.4,Acetyltransferase (GNAT) domain,Domain,2030,539,243484,119.9,24,Pfam full
PF18015.4,Acetyltransferase (GNAT) domain,Domain,84,189,9540,113.6,25,Pfam full
PF00797.20,N-acetyltransferase,Family,3913,1451,919366,235.0,25,Pfam full
PF13302.10,Acetyltransferase (GNAT) domain,Domain,51560,1117,7252325,140.7,19,Pfam full
PF13420.10,Acetyltransferase (GNAT) domain,Domain,4324,1043,662753,153.3,29,Pfam full
PF13444.9,Acetyltransferase (GNAT) domain,Domain,4403,398,454024,103.1,30,Pfam full
PF13480.10,Acetyltransferase (GNAT) domain,Domain,7098,912,1008055,142.0,14,Pfam full
PF13508.10,Acetyltransferase (GNAT) domain,Domain,12386,657,1112758,89.8,18,Pfam full
PF13523.9,Acetyltransferase (GNAT) domain,Domain,3674,709,526149,143.2,25,Pfam full
PF14542.9,GCN5-related N-acetyl-transferase,Domain,6125,259,482393,78.8,28,Pfam full
PF08674.13,Acetylcholinesterase tetramerisation domain,Domain,440,50,15213,34.6,72,Pfam full
PF15270.9,Metallo-carboxypeptidase inhibitor,Family,1,77,41,41.0,100,Pfam full
PF03767.17,"HAD superfamily, subfamily IIIB (Acid phosphatase)",Family,3681,1067,718583,195.2,24,Pfam full
PF12689.10,Acid Phosphatase,Family,1823,776,261218,143.3,35,Pfam full
PF05054.15,Autographa californica nuclear polyhedrosis virus (AcMNPV) protein,Family,27,489,7810,289.3,35,Pfam full
PF07138.14,Baculovirus protein AC11,Family,6,343,1983,330.5,56,Pfam full
PF06648.14,"Autographa californica nuclear polyhedrosis virus (AcMNPV), Ac75",Family,15,200,1906,127.1,29,Pfam full
PF05815.14,"Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf101",Family,19,438,6721,353.7,36,Pfam full
PF06856.14,"Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf17",Family,12,168,1405,117.1,32,Pfam full
PF07134.14,"Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf18",Family,11,402,3554,323.1,35,Pfam full
PF05081.15,"Autographa californica nuclear polyhedrosis virus (AcMNPV), P18",Family,19,167,2872,151.2,43,Pfam full
