id,rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
,RF00061,Hepatitis C virus internal ribosome entry site,IRES,79,308,17738,224.5,86,Rfam seed
,RF00062,HgcC family RNA,Gene,5,177,672,134.4,67,Rfam seed
,RF00063,SscA RNA,Gene,5,97,481,96.2,71,Rfam seed
,RF00064,HgcG RNA (Pab40),snoRNA,5,299,1374,274.8,67,Rfam seed
,RF00065,Small nucleolar RNA snoR9,snoRNA,5,132,639,127.8,84,Rfam seed
,RF00066,U7 small nuclear RNA,snRNA,49,75,3020,61.6,65,Rfam seed
,RF00067,Small nucleolar RNA SNORD15,snoRNA,11,163,1615,146.8,60,Rfam seed
,RF00068,Small nucleolar RNA SNORD21,snoRNA,5,97,463,92.6,71,Rfam seed
,RF00069,Small nucleolar RNA SNORD24,snoRNA,14,101,1091,77.9,71,Rfam seed
,RF00070,Small nucleolar RNA SNORD29,snoRNA,10,93,732,73.2,75,Rfam seed
,RF00071,Small nucleolar RNA SNORD73,snoRNA,25,86,1765,70.6,79,Rfam seed
,RF00072,Small nucleolar RNA SNORA75,snoRNA,6,157,811,135.2,71,Rfam seed
,RF00073,mir-156 microRNA precursor,miRNA Precursor,10,102,890,89.0,71,Rfam seed
,RF00074,mir-29 microRNA precursor,miRNA Precursor,10,72,673,67.3,74,Rfam seed
,RF00075,mir-166 microRNA precursor,miRNA Precursor,31,193,3775,121.8,57,Rfam seed
,RF00076,mir-181 microRNA precursor,miRNA Precursor,19,83,1441,75.8,81,Rfam seed
,RF00077,SraB RNA,sRNA,5,169,841,168.2,86,Rfam seed
,RF00078,MicA sRNA,sRNA,17,105,1264,74.4,78,Rfam seed
,RF00079,OmrA-B family,sRNA,23,114,2016,87.7,75,Rfam seed
,RF00080,yybP-ykoY manganese riboswitch,Riboswitch,29,369,5136,177.1,33,Rfam seed
,RF00081,ArcZ RNA,sRNA,9,115,966,107.3,77,Rfam seed
,RF00082,SraG RNA,sRNA,7,189,1206,172.3,71,Rfam seed
,RF00083,GlmZ RNA activator of glmS mRNA,sRNA,21,249,4439,211.4,78,Rfam seed
,RF00084,CsrC RNA family,sRNA,4,261,1016,254.0,82,Rfam seed
,RF00085,Small nucleolar RNA SNORD28,snoRNA,20,87,1521,76.0,75,Rfam seed
,RF00086,Small nucleolar RNA SNORD27,snoRNA,8,85,579,72.4,73,Rfam seed
,RF00087,Small nucleolar RNA SNORD26,snoRNA,17,79,1274,74.9,79,Rfam seed
,RF00088,Small nucleolar RNA SNORD30,snoRNA,20,76,1394,69.7,82,Rfam seed
,RF00089,Small nucleolar RNA SNORD31,snoRNA,26,76,1778,68.4,76,Rfam seed
,RF00090,Small nucleolar RNA SNORA74,snoRNA,24,216,4787,199.5,77,Rfam seed
,RF00091,Small nucleolar RNA SNORA62/SNORA6 family,snoRNA,18,166,2743,152.4,76,Rfam seed
,RF00092,Small nucleolar RNA SNORA63,snoRNA,8,135,1030,128.8,80,Rfam seed
,RF00093,Small nucleolar RNA SNORD18,snoRNA,16,102,1198,74.9,68,Rfam seed
,RF00094,Hepatitis delta virus ribozyme,Ribozyme,33,115,3007,91.1,72,Rfam seed
,RF00095,Pyrococcus C/D box small nucleolar RNA,snoRNA,25,63,1402,56.1,60,Rfam seed
,RF00096,U8 small nucleolar RNA,snoRNA,55,189,7385,134.3,66,Rfam seed
,RF00097,Plant small nucleolar RNA R71,snoRNA,25,108,2674,107.0,82,Rfam seed
,RF00099,Small nucleolar RNA SNORD22,snoRNA,49,148,6162,125.8,80,Rfam seed
,RF00100,7SK RNA,Gene,45,402,14501,322.2,81,Rfam seed
,RF00101,SraC/RyeA RNA,sRNA,13,153,1898,146.0,86,Rfam seed
,RF00102,VA RNA,Gene,54,249,8713,161.4,67,Rfam seed
,RF00103,mir-1 microRNA precursor family,miRNA Precursor,66,86,5062,76.7,68,Rfam seed
,RF00104,mir-10 microRNA precursor family,miRNA Precursor,36,80,2635,73.2,68,Rfam seed
,RF00105,Small nucleolar RNA SNORD115,snoRNA,32,84,2583,80.7,89,Rfam seed
,RF00106,RNAI,Antisense RNA,10,108,1025,102.5,75,Rfam seed
,RF00107,FinP,Gene,6,80,465,77.5,90,Rfam seed
,RF00108,Small nucleolar RNA SNORD116,snoRNA,48,118,4463,93.0,81,Rfam seed
,RF00109,Vimentin 3' UTR protein-binding region,Cis-regulatory,19,86,1310,68.9,74,Rfam seed
,RF00110,RybB RNA,sRNA,8,84,632,79.0,82,Rfam seed
,RF00111,SdsR_RyeB RNA,sRNA,17,115,1655,97.4,74,Rfam seed
,RF00112,CyaR/Rye RNA,sRNA,17,95,1469,86.4,77,Rfam seed
,RF00113,Short Intergenic Abundant RNA,Antitoxin,17,166,2512,147.8,72,Rfam seed
,RF00114,Ribosomal S15 leader,5' Leader Element,78,140,9104,116.7,60,Rfam seed
,RF00115,McaS/IsrA RNA,sRNA,4,96,383,95.8,84,Rfam seed
,RF00116,C0465 RNA,sRNA,8,78,620,77.5,99,Rfam seed
,RF00117,C0719 RNA,sRNA,9,222,1998,222.0,98,Rfam seed
,RF00118,rydB RNA,sRNA,7,69,432,61.7,79,Rfam seed
,RF00119,C0299 RNA,sRNA,5,79,395,79.0,97,Rfam seed
,RF00121,MicC RNA,sRNA,8,134,976,122.0,71,Rfam seed
,RF00122,GadY,sRNA,5,114,569,113.8,99,Rfam seed
,RF00124,IS102 RNA,sRNA,5,208,1025,205.0,89,Rfam seed
,RF00125,IS128 RNA,sRNA,5,213,1051,210.2,88,Rfam seed
,RF00126,ryfA RNA,sRNA,9,323,2688,298.7,73,Rfam seed
,RF00127,t44 RNA,sRNA,78,140,7485,96.0,63,Rfam seed
,RF00128,Glm Y RNA activator of glmS mRNA,sRNA,17,176,2680,157.6,77,Rfam seed
,RF00129,mir-103/107 microRNA precursor,miRNA Precursor,93,82,6961,74.8,84,Rfam seed
,RF00130,mir-192/215 microRNA precursor,miRNA Precursor,48,116,3594,74.9,74,Rfam seed
,RF00131,mir-30 microRNA precursor,miRNA Precursor,49,64,2938,60.0,75,Rfam seed
,RF00132,Small nucleolar RNA R24,snoRNA,12,97,1107,92.2,81,Rfam seed
,RF00133,Small nucleolar RNA Z195/SNORD33/SNORD32 family,snoRNA,72,111,5997,83.3,62,Rfam seed
,RF00134,Small nucleolar RNA Z196/R39/R59 family,snoRNA,22,104,1889,85.9,67,Rfam seed
,RF00135,Small nucleolar RNA Z223,snoRNA,5,95,471,94.2,83,Rfam seed
,RF00136,Small nucleolar RNA SNORD81,snoRNA,22,90,1684,76.5,82,Rfam seed
,RF00137,Small nucleolar RNA SNORD83,snoRNA,7,80,538,76.9,84,Rfam seed
,RF00138,Small nucleolar RNA SNORD16,snoRNA,5,101,490,98.0,80,Rfam seed
,RF00139,Small nucleolar RNA SNORA72,snoRNA,29,150,3842,132.5,83,Rfam seed
,RF00140,Alpha operon ribosome binding site,Cis-regulatory,39,137,4175,107.1,65,Rfam seed
,RF00142,Small nucleolar RNA Z118/Z121/Z120,snoRNA,7,111,727,103.9,83,Rfam seed
,RF00143,mir-6 microRNA precursor,miRNA Precursor,36,97,2674,74.3,73,Rfam seed
,RF00144,mir-199 microRNA precursor,miRNA Precursor,83,83,6192,74.6,85,Rfam seed
,RF00145,Small nucleolar RNA Z105,snoRNA,11,77,769,69.9,65,Rfam seed
,RF00147,Small nucleolar RNA SNORD34,snoRNA,14,94,1052,75.1,69,Rfam seed
,RF00149,Small nucleolar RNA Z103,snoRNA,12,108,1181,98.4,74,Rfam seed
,RF00150,Small nucleolar RNA SNORD42,snoRNA,7,78,460,65.7,72,Rfam seed
,RF00151,Small nucleolar RNA SNORD58,snoRNA,33,99,2169,65.7,79,Rfam seed
,RF00152,Small nucleolar RNA SNORD79,snoRNA,28,93,2291,81.8,75,Rfam seed
,RF00153,Small nucleolar RNA SNORD62,snoRNA,14,87,1196,85.4,86,Rfam seed
,RF00154,Small nucleolar RNA SNORD63,snoRNA,23,98,1673,72.7,79,Rfam seed
,RF00155,Small nucleolar RNA SNORA66,snoRNA,25,145,3341,133.6,81,Rfam seed
,RF00156,Small nucleolar RNA SNORA70,snoRNA,43,149,5798,134.8,77,Rfam seed
,RF00157,Small nucleolar RNA SNORD55/SNORD39,snoRNA,20,86,1594,79.7,83,Rfam seed
,RF00158,Small nucleolar RNA SNORD82,snoRNA,27,81,1880,69.6,80,Rfam seed
,RF00159,Small nucleolar RNA Z168/Z174,snoRNA,6,86,492,82.0,83,Rfam seed
,RF00160,Small nucleolar RNA Z159/U59,snoRNA,10,103,893,89.3,81,Rfam seed
,RF00161,Nanos 3' UTR translation control element,Cis-regulatory,9,65,565,62.8,80,Rfam seed
,RF00162,SAM riboswitch (S box leader),Riboswitch,457,239,50154,109.7,63,Rfam seed
,RF00163,Hammerhead ribozyme (type I),Ribozyme,29,124,1727,59.6,67,Rfam seed
,RF00164,Coronavirus 3' stem-loop II-like motif (s2m),Cis-regulatory,39,47,1677,43.0,78,Rfam seed
,RF00165,Coronavirus 3' UTR pseudoknot,Cis-regulatory,52,72,3201,61.6,56,Rfam seed
,RF00166,PrrB/RsmZ RNA family,sRNA,37,152,4767,128.8,73,Rfam seed
,RF00167,Purine riboswitch,Riboswitch,133,113,13410,100.8,55,Rfam seed
,RF00168,Lysine riboswitch,Riboswitch,47,274,8623,183.5,48,Rfam seed
,RF00169,Bacterial small signal recognition particle RNA,Gene,261,127,22384,85.8,54,Rfam seed
,RF00170,Retron msr RNA,Gene,7,83,488,69.7,76,Rfam seed
,RF00171,Tombusvirus 5' UTR,Cis-regulatory,9,193,1449,161.0,75,Rfam seed
,RF00172,ctgf/hcs24 CAESAR,Cis-regulatory,9,90,712,79.1,78,Rfam seed
,RF00173,Hairpin ribozyme,Ribozyme,5,52,256,51.2,82,Rfam seed
,RF00174,Cobalamin riboswitch,Riboswitch,433,440,87312,201.6,50,Rfam seed
,RF00175,Human immunodeficiency virus type 1 dimerisation initiation site,Cis-regulatory,70,47,2809,40.1,87,Rfam seed
,RF00176,Tombusvirus 3' UTR region IV,Cis-regulatory,18,92,1642,91.2,93,Rfam seed
,RF00177,Bacterial small subunit ribosomal RNA,rRNA subunit,99,1980,151508,1530.4,73,Rfam seed
,RF00178,mir-24 microRNA precursor family,miRNA Precursor,63,76,4259,67.6,82,Rfam seed
,RF00179,GAIT element,Cis-regulatory,8,71,562,70.2,99,Rfam seed
,RF00180,Renin stability regulatory element (REN-SRE),Cis-regulatory,13,37,475,36.5,89,Rfam seed
,RF00181,Small nucleolar RNA SNORD113/SNORD114 family,snoRNA,59,109,4414,74.8,67,Rfam seed
,RF00182,Coronavirus packaging signal,Cis-regulatory,6,110,648,108.0,80,Rfam seed
,RF00183,G-CSF factor stem-loop destabilising element (SLDE),Cis-regulatory,16,100,1499,93.7,80,Rfam seed
,RF00184,Potato virus X cis-acting regulatory element,Cis-regulatory,4,54,216,54.0,96,Rfam seed
,RF00185,Flavivirus 3' UTR cis-acting replication element (CRE),Cis-regulatory,84,118,7963,94.8,65,Rfam seed
,RF00186,Small nucleolar RNA SNORD101,snoRNA,26,90,1902,73.2,84,Rfam seed
,RF00187,Small nucleolar RNA SNORD102,snoRNA,11,75,783,71.2,88,Rfam seed
,RF00188,Small nucleolar RNA SNORD103/SNORD85,snoRNA,41,92,3286,80.1,79,Rfam seed
,RF00189,Small nucleolar RNA SNORD95,snoRNA,7,68,475,67.9,90,Rfam seed
,RF00190,Small nucleolar RNA SNORA16B/SNORA16A family,snoRNA,29,169,3926,135.4,72,Rfam seed
,RF00191,Small nucleolar RNA SNORA57,snoRNA,26,160,3809,146.5,78,Rfam seed
,RF00192,Bovine leukaemia virus RNA packaging signal,Cis-regulatory,5,55,275,55.0,96,Rfam seed
,RF00193,Citrus tristeza virus replication signal,Cis-regulatory,9,275,2458,273.1,98,Rfam seed
,RF00194,Rubella virus 3' cis-acting element,Cis-regulatory,25,68,1672,66.9,95,Rfam seed
,RF00195,RsmY RNA family,sRNA,11,134,1333,121.2,76,Rfam seed
,RF00196,Alfalfa mosaic virus RNA 1 5' UTR stem-loop,Cis-regulatory,6,35,210,35.0,96,Rfam seed
,RF00198,SL1 RNA,Gene,28,106,2909,103.9,92,Rfam seed
,RF00199,SL2 RNA,Gene,30,130,3300,110.0,76,Rfam seed
,RF00200,Small nucleolar RNA Z199,snoRNA,17,107,1404,82.6,81,Rfam seed
,RF00201,Small nucleolar RNA Z278,snoRNA,7,115,803,114.7,94,Rfam seed
,RF00202,Small nucleolar RNA R66,snoRNA,6,78,444,74.0,87,Rfam seed
,RF00203,Small nucleolar RNA R160,snoRNA,9,96,718,79.8,73,Rfam seed
,RF00204,Small nucleolar RNA R12,snoRNA,9,93,747,83.0,79,Rfam seed
,RF00205,Small nucleolar RNA R41,snoRNA,7,111,663,94.7,88,Rfam seed
,RF00206,Small nucleolar RNA U54,snoRNA,21,96,1706,81.2,69,Rfam seed
,RF00207,K10 transport/localisation element (TLS),Cis-regulatory,10,48,460,46.0,91,Rfam seed
,RF00208,Small nucleolar RNA R72,snoRNA,5,87,435,87.0,97,Rfam seed
,RF00209,Pestivirus internal ribosome entry site (IRES),IRES,25,286,6874,275.0,88,Rfam seed
,RF00210,Aphthovirus internal ribosome entry site (IRES),IRES,92,569,42476,461.7,82,Rfam seed
,RF00211,Small nucleolar RNA SNORD35,snoRNA,8,95,707,88.4,72,Rfam seed
,RF00212,Small nucleolar RNA SNORD38,snoRNA,7,74,477,68.1,80,Rfam seed
,RF00213,Small nucleolar RNA R38,snoRNA,19,114,1623,85.4,58,Rfam seed
,RF00214,Retrovirus direct repeat 1 (dr1),Cis-regulatory,26,95,2345,90.2,89,Rfam seed
,RF00215,Tombus virus defective interfering (DI) RNA region 3,Cis-regulatory,28,72,1945,69.5,79,Rfam seed
,RF00216,c-myc internal ribosome entry site (IRES),IRES,23,310,6952,302.3,98,Rfam seed
,RF00217,Small nucleolar RNA SNORD20,snoRNA,13,84,1035,79.6,88,Rfam seed
,RF00218,Small nucleolar RNA SNORD46,snoRNA,5,105,511,102.2,91,Rfam seed
,RF00220,Human rhinovirus internal cis-acting regulatory element (CRE),Cis-regulatory,12,86,1032,86.0,81,Rfam seed
,RF00221,Small nucleolar RNA SNORD43,snoRNA,4,64,251,62.8,85,Rfam seed
,RF00222,Bag-1 internal ribosome entry site (IRES),IRES,15,389,5525,368.3,79,Rfam seed
,RF00223,bip internal ribosome entry site (IRES),IRES,9,277,2270,252.2,81,Rfam seed
,RF00224,FGF-2 internal ribosome entry site (IRES),IRES,6,507,2959,493.2,89,Rfam seed
,RF00225,Tobamovirus internal ribosome entry site (IRES),IRES,7,154,1060,151.4,87,Rfam seed
,RF00226,n-myc internal ribosome entry site (IRES),IRES,6,329,1942,323.7,72,Rfam seed
,RF00227,FIE3 (ftz instability element 3') element,Cis-regulatory,5,92,335,67.0,65,Rfam seed
,RF00228,Hepatitis A virus internal ribosome entry site (IRES),IRES,23,578,13142,571.4,96,Rfam seed
,RF00229,Picornavirus internal ribosome entry site (IRES),IRES,92,260,23159,251.7,83,Rfam seed
,RF00230,T-box leader,5' Leader Element,48,556,11136,232.0,47,Rfam seed
,RF00231,Small Cajal body specific RNA 13,snoRNA,24,299,6574,273.9,79,Rfam seed
,RF00232,Spi-1 (PU.1) 5' UTR regulatory element,Cis-regulatory,5,170,823,164.6,91,Rfam seed
,RF00233,Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element,Cis-regulatory,28,92,2314,82.6,68,Rfam seed
,RF00234,glmS glucosamine-6-phosphate activated ribozyme,Riboswitch,18,236,3275,181.9,57,Rfam seed
,RF00235,Plasmid RNAIII,Gene,7,131,908,129.7,94,Rfam seed
,RF00236,ctRNA,Antisense RNA,15,88,1166,77.7,73,Rfam seed
,RF00237,mir-9/mir-79 microRNA precursor family,miRNA Precursor,43,67,2629,61.1,78,Rfam seed
,RF00238,ctRNA,Antisense RNA,48,95,4078,85.0,72,Rfam seed
,RF00239,mir-124 microRNA precursor family,miRNA Precursor,56,92,4505,80.4,73,Rfam seed
,RF00240,RNA-OUT,Antisense RNA,16,77,1123,70.2,87,Rfam seed
,RF00241,mir-8/mir-141/mir-200 microRNA precursor family,miRNA Precursor,164,87,11108,67.7,67,Rfam seed
,RF00242,ctRNA,Antisense RNA,16,115,1539,96.2,79,Rfam seed
,RF00243,traJ 5' UTR,Cis-regulatory,6,111,652,108.7,86,Rfam seed
,RF00244,mir-26 microRNA precursor family,miRNA Precursor,82,84,6061,73.9,73,Rfam seed
,RF00245,mir-19 microRNA precursor family,miRNA Precursor,46,84,3523,76.6,82,Rfam seed
,RF00246,mir-135 microRNA precursor family,miRNA Precursor,32,92,2896,90.5,72,Rfam seed
,RF00247,mir-160 microRNA precursor family,miRNA Precursor,7,137,664,94.9,66,Rfam seed
,RF00248,mir-148/mir-152 microRNA precursor family,miRNA Precursor,70,89,4930,70.4,79,Rfam seed
,RF00249,mir-46/mir-47/mir-281 microRNA precursor family,miRNA Precursor,57,98,4799,84.2,67,Rfam seed
,RF00250,Trans-activation response element (TAR),miRNA Precursor,45,61,2728,60.6,85,Rfam seed
,RF00251,mir-219 microRNA precursor family,miRNA Precursor,13,76,931,71.6,82,Rfam seed
,RF00252,Alfalfa mosaic virus coat protein binding (CPB) RNA,Cis-regulatory,18,190,3278,182.1,89,Rfam seed
,RF00253,mir-101 microRNA precursor family,miRNA Precursor,59,75,4231,71.7,85,Rfam seed
,RF00254,mir-16 microRNA precursor family,miRNA Precursor,12,82,964,80.3,73,Rfam seed
,RF00255,mir-218 microRNA precursor family,miRNA Precursor,74,89,5801,78.4,78,Rfam seed
,RF00256,mir-196 microRNA precursor family,miRNA Precursor,14,96,1269,90.6,73,Rfam seed
,RF00257,mir-194 microRNA precursor family,miRNA Precursor,29,95,2465,85.0,69,Rfam seed
,RF00258,mir-130 microRNA precursor family,miRNA Precursor,9,84,747,83.0,87,Rfam seed
,RF00259,Interferon gamma 5' UTR regulatory element,Cis-regulatory,5,169,842,168.4,90,Rfam seed
,RF00260,Hepatitis C virus (HCV) cis-acting replication element (CRE),Cis-regulatory,52,51,2652,51.0,87,Rfam seed
,RF00261,L-myc internal ribosome entry site (IRES),IRES,11,237,2431,221.0,88,Rfam seed
,RF00262,sar RNA,Antisense RNA,4,68,272,68.0,82,Rfam seed
,RF00263,Small nucleolar RNA SNORA68,snoRNA,26,147,3436,132.2,71,Rfam seed
,RF00264,Small nucleolar RNA SNORA64/SNORA10 family,snoRNA,9,138,1197,133.0,71,Rfam seed
,RF00265,Small nucleolar RNA SNORA69,snoRNA,16,146,2118,132.4,84,Rfam seed
,RF00266,Small nucleolar RNA Z17,snoRNA,26,76,1849,71.1,76,Rfam seed
,RF00267,Small nucleolar RNA R64/Z200 family,snoRNA,14,106,1330,95.0,69,Rfam seed
,RF00268,Small nucleolar RNA snoZ7/snoR77,snoRNA,5,79,381,76.2,91,Rfam seed
,RF00270,Small nucleolar RNA SNORD61,snoRNA,36,88,2588,71.9,71,Rfam seed
,RF00271,Small nucleolar RNA SNORD60,snoRNA,22,103,1823,82.9,79,Rfam seed
,RF00272,Small nucleolar RNA SNORA67,snoRNA,12,153,1697,141.4,80,Rfam seed
,RF00273,Small nucleolar RNA SNORD59,snoRNA,24,86,1754,73.1,77,Rfam seed
,RF00274,Small nucleolar RNA SNORD57,snoRNA,23,94,1634,71.0,78,Rfam seed
,RF00275,Small nucleolar RNA SNORD56,snoRNA,7,72,494,70.6,80,Rfam seed
,RF00276,Small nucleolar RNA SNORD52,snoRNA,20,72,1339,67.0,81,Rfam seed
,RF00277,Small nucleolar RNA SNORD49,snoRNA,28,80,2010,71.8,76,Rfam seed
,RF00278,Small nucleolar RNA SNORD50,snoRNA,26,78,1858,71.5,81,Rfam seed
,RF00279,Small nucleolar RNA SNORD45,snoRNA,11,84,815,74.1,79,Rfam seed
,RF00280,Small nucleolar RNA SNORD51,snoRNA,14,80,1070,76.4,86,Rfam seed
,RF00281,Small nucleolar RNA SNORD47,snoRNA,20,83,1518,75.9,82,Rfam seed
,RF00282,Small nucleolar RNA SNORD48,snoRNA,8,64,502,62.8,90,Rfam seed
,RF00283,small Cajal body-specific RNA 18,snoRNA,20,85,1626,81.3,86,Rfam seed
,RF00284,Small nucleolar RNA SNORD74,snoRNA,22,84,1744,79.3,78,Rfam seed
,RF00285,Z6 small nucleolar RNA,snoRNA,7,91,637,91.0,91,Rfam seed
,RF00286,Small Cajal body specific RNA 8,snoRNA,22,138,2870,130.5,79,Rfam seed
,RF00287,Small nucleolar RNA SNORD44,snoRNA,12,65,732,61.0,84,Rfam seed
,RF00288,Z30 small nucleolar RNA,snoRNA,20,116,1951,97.5,82,Rfam seed
,RF00289,Small nucleolar RNA SNORD104,snoRNA,18,72,1254,69.7,86,Rfam seed
,RF00290,Bamboo mosaic potexvirus (BaMV) cis-regulatory element,Cis-regulatory,5,140,700,140.0,99,Rfam seed
,RF00291,Small nucleolar RNA snoR639/H1,snoRNA,9,151,1253,139.2,80,Rfam seed
,RF00292,Small nucleolar RNA TBR5,snoRNA,6,96,539,89.8,81,Rfam seed
,RF00293,Small nucleolar RNA snoM1,snoRNA,7,104,697,99.6,89,Rfam seed
,RF00294,Small nucleolar RNA TBR17,snoRNA,6,134,728,121.3,76,Rfam seed
,RF00295,Small nucleolar RNA TBR7,snoRNA,10,80,744,74.4,78,Rfam seed
,RF00296,Small nucleolar RNA R16,snoRNA,18,98,1536,85.3,74,Rfam seed
,RF00300,Small nucleolar RNA Z221/R21b,snoRNA,12,135,1193,99.4,73,Rfam seed
,RF00301,Small nucleolar RNA Z256,snoRNA,5,94,466,93.2,83,Rfam seed
,RF00302,Small nucleolar RNA SNORA65,snoRNA,14,137,1766,126.1,72,Rfam seed
,RF00303,Small nucleolar RNA snoR86,snoRNA,11,144,1370,124.5,75,Rfam seed
,RF00304,Small nucleolar RNA Z279/snoR105/snoR108,snoRNA,20,126,2128,106.4,72,Rfam seed
,RF00305,Small nucleolar RNA Z248,snoRNA,5,137,685,137.0,98,Rfam seed
,RF00306,Small nucleolar RNA Z178,snoRNA,5,152,760,152.0,100,Rfam seed
,RF00307,Small nucleolar RNA snoR98,snoRNA,4,119,435,108.8,86,Rfam seed
,RF00309,Small nucleolar RNA snR60/Z15/Z230/Z193/J17,snoRNA,23,124,2155,93.7,63,Rfam seed
